room_id,host_id,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude
2476,2723,Shared room,Shaw,31,4.5,1,1,36,NA,38.915039,-77.023798
3192,3768,Entire home/apt,Catholic University-Brookland,6,4,6,2,85,NA,38.931609,-77.023438
3362,2798,Entire home/apt,Shaw,98,5,16,4,483,NA,38.910461,-77.019331
3596,4542,Private room,Fort Totten-Upper Northeast,3,4.5,4,1,39,NA,38.96042,-77.021295
3662,4645,Private room,Anacostia,28,4.5,3,1,75,NA,38.861925,-76.989634
3663,4617,Entire home/apt,Fort Totten-Upper Northeast,37,5,8,4,190,NA,38.958876,-77.025539
3670,4630,Private room,U Street Corridor,49,4,1,1,69,NA,38.918417,-77.0275
3686,4645,Private room,Anacostia,64,4.5,2,1,65,NA,38.863138,-76.988362
3771,4795,Private room,Mount Pleasant,1,0,2,1,88,NA,38.927605,-77.039265
3943,5059,Private room,Brentwood,370,5,2,1,80,NA,38.910665,-77.004377
4002,5143,Entire home/apt,Catholic University-Brookland,136,4.5,9,2,105,NA,38.940084,-76.98936
4197,5061,Private room,Capitol Hill,9,5,2,2,58,NA,38.887906,-76.996678
4283,5498,Entire home/apt,Adams Morgan,11,5,4,2,160,NA,38.922032,-77.044474
4501,1585,Private room,Shaw,120,5,2,1,475,NA,38.913307,-77.024358
4520,5795,Private room,Brentwood,12,4.5,6,1,30,NA,38.915468,-77.00178
4529,5803,Private room,Deanwood,88,4.5,4,1,60,NA,38.906449,-76.94305
4562,5850,Entire home/apt,Adams Morgan,3,3.5,3,0,85,NA,38.918047,-77.044961
4639,5975,Entire home/apt,Adams Morgan,0,0,5,1,250,NA,38.922476,-77.037619
4967,7086,Private room,Brentwood,31,5,1,1,99,NA,38.912626,-76.992206
5589,6527,Entire home/apt,Adams Morgan,53,4.5,4,1,100,NA,38.919327,-77.041238
7103,17633,Private room,The Palisades,86,5,3,1,99,NA,38.91988,-77.097958
7202,4617,Private room,Fort Totten-Upper Northeast,22,5,3,1,85,NA,38.960004,-77.024254
8882,27696,Private room,Mount Pleasant,263,4.5,2,1,110,NA,38.931221,-77.040165
8919,27910,Private room,South West,47,4.5,2,1,200,NA,38.87698,-77.015691
9097,6527,Shared room,Adams Morgan,56,5,1,1,45,NA,38.92083,-77.039865
9097,6527,Shared room,Adams Morgan,69,5,1,1,45,NA,38.920295,-77.042054
9637,32015,Private room,Glover Park,200,5,2,1,69,NA,38.926388,-77.077649
9641,32067,Entire home/apt,Dupont Circle,94,5,4,1,185,NA,38.911465,-77.036361
10766,38641,Private room,Capitol Hill,60,5,2,1,95,NA,38.878051,-76.988296
11785,32015,Entire home/apt,Glover Park,279,4.5,6,1,125,NA,38.928278,-77.076381
12442,32015,Private room,Glover Park,26,4.5,2,1,69,NA,38.927436,-77.074959
13744,53927,Entire home/apt,Columbia Heights,6,4.5,4,1,125,NA,38.929052,-77.030841
13824,54317,Entire home/apt,Brightwood,75,5,4,0,80,NA,38.958454,-77.037637
13999,54959,Entire home/apt,Capitol Hill,12,4.5,4,0,99,NA,38.887946,-76.996432
14218,32015,Private room,Glover Park,50,4.5,2,1,69,NA,38.926995,-77.076446
14570,56646,Private room,Mount Vernon Square,421,5,3,1,85,NA,38.904268,-77.02656
16641,32067,Entire home/apt,Dupont Circle,53,4.5,3,1,125,NA,38.913809,-77.045383
16684,64814,Entire home/apt,Capitol Hill,158,5,2,0,125,NA,38.898661,-77.001794
