,median,lower,upper,sd,year,abb
1,NA,NA,NA,NA,1935,AK
2,-1.291883113,-1.712090429,-0.65127084,0.318843729,1935,AL
3,-1.820491469,-2.286617387,-1.507476061,0.249270452,1935,AR
4,-0.363490745,-0.884880046,0.08540828,0.299209511,1935,AZ
5,0.801373249,0.348743442,1.218902001,0.273846028,1935,CA
6,0.788306863,0.349141202,1.244072615,0.271275952,1935,CO
7,0.256517827,-0.159999518,0.682387115,0.262078637,1935,CT
8,-0.775863519,-1.348972096,-0.233039545,0.353344091,1935,DE
9,-1.208692686,-1.646515146,-0.637350468,0.313716507,1935,FL
10,-1.456357752,-1.692815208,-1.174833072,0.156278056,1935,GA
11,NA,NA,NA,NA,1935,HI
12,0.144917164,-0.271606727,0.57043379,0.259401218,1935,IA
13,-0.181350159,-0.665838438,0.250734992,0.285994438,1935,ID
14,0.552522287,0.104480635,1.056256098,0.290166078,1935,IL
15,0.081943638,-0.386811108,0.514320105,0.276552538,1935,IN
16,0.102756826,-0.293376074,0.580682517,0.262850117,1935,KS
17,-0.646440192,-1.175790671,-0.127516386,0.326729885,1935,KY
18,-0.54870713,-1.06780022,-0.081581277,0.303526526,1935,LA
19,1.329204896,1.064073207,1.587011739,0.157369872,1935,MA
20,-0.483325959,-1.089385961,0.007067573,0.33617052,1935,MD
21,0.275839803,-0.186509002,0.753965072,0.280629443,1935,ME
22,0.769532681,0.305692182,1.159104938,0.261055404,1935,MI
23,0.631907898,0.143300499,1.13007591,0.307004099,1935,MN
24,-0.78298177,-1.406417626,-0.227499895,0.357194411,1935,MO
25,-2.011483972,-2.762936101,-1.659725188,0.354170894,1935,MS
26,0.062769723,-0.388560196,0.52211428,0.272193337,1935,MT
27,-0.987621865,-1.540189208,-0.409891128,0.351825502,1935,NC
28,0.008649649,-0.471300405,0.448048914,0.274809092,1935,ND
29,-0.161054651,-0.595078263,0.291188765,0.280343105,1935,NE
30,-0.052368554,-0.528392464,0.371014579,0.273716642,1935,NH
31,1.146604364,0.708363219,1.62187733,0.286377849,1935,NJ
32,-0.315971566,-0.81780039,0.176648362,0.292597169,1935,NM
33,-0.370979712,-0.937801265,0.133796721,0.329417278,1935,NV
34,0.978152156,0.704053324,1.247470222,0.166455347,1935,NY
35,0.814133746,0.317872319,1.323365127,0.293080543,1935,OH
36,-0.538091805,-1.161599781,-0.063616463,0.326578345,1935,OK
37,0.034421044,-0.450083997,0.46159606,0.273876569,1935,OR
38,0.394710821,-0.057626984,0.870346883,0.271303699,1935,PA
39,0.507109799,0.06151625,0.978664393,0.279685156,1935,RI
40,-1.438426421,-1.708704756,-1.158715581,0.161837893,1935,SC
41,-0.253957342,-0.760800583,0.231042007,0.304143179,1935,SD
