Number,File Name,IdePoAvfu1,IdePoAvse1,Respperzipav1,Zipperdistav1,Batch File
1,1a66f312-cf90-4096-b329-ccea83e6b291.geojson,0.058101873,0.625227499,1820.2,69.98,1
2,1b85b5a0-5025-475a-ad98-6747b910db33.geojson,0.023678301,0.625665537,1820.2,69.98,1
3,332cc5e6-2f5e-4aba-847f-92e663daa109.geojson,0.020304411,0.62488524,1820.2,69.98,1
4,3bdeed76-c6a9-436c-ae73-43c87a70384b.geojson,0.020949586,0.618721642,1820.2,69.98,1
5,4046bd72-25a7-4454-90ef-65f6bcfa0826.geojson,0.058111904,0.625229312,1820.2,69.98,1
6,4a8ff0a5-91fa-4a8f-a695-269e53f6a7f6.geojson,0.022737446,0.622920558,1820.2,69.98,1
7,5370bbd6-c73b-4597-aa74-9a4d87f1b419.geojson,0.03720693,0.622725329,1820.2,69.98,1
8,5b80df31-941f-44bc-921e-5cd79c26aa71.geojson,0.021371366,0.618642552,1820.2,69.98,1
9,68142665-2c92-47c5-8c61-c939e1ffae68.geojson,0.020104173,0.624965175,1820.2,69.98,1
10,75253485-ba1a-431a-ae70-754652b8cf60.geojson,0.00991906,0.627256219,1820.2,69.98,1
11,81c3a4d5-ffe1-401d-a3e9-e6565e5b1d4e.geojson,0.008415905,0.627133372,1820.2,69.98,1
12,868d48cf-8e70-4895-8589-5f1b23823228.geojson,0.057972564,0.625214223,1820.2,69.98,1
13,993589d1-1dde-4d17-b97b-0de430bc69ee.geojson,0.023113091,0.62307388,1820.2,69.98,1
14,a4c87167-a9c5-48f8-8bcc-4cbe9358075d.geojson,0.058283939,0.625424534,1820.2,69.98,1
15,a6ca3444-67f0-43da-8f18-f05f1a1fac1e.geojson,-0.022922071,0.623592361,1820.2,69.98,1
16,aa4b5884-5eda-4b3f-870a-fe96a16484f8.geojson,0.019846775,0.620427516,1820.2,69.98,1
17,b12fe7db-b5df-407c-aae8-d18a4b9acc28.geojson,0.024133477,0.623018313,1820.2,69.98,1
18,c8f8e01b-3988-4fd6-9045-e64006459e8e.geojson,-0.024039835,0.623710958,1820.2,69.98,1
19,d13088e6-f72b-40b1-9a5c-391af682bebe.geojson,-0.022652217,0.623787944,1820.2,69.98,1
20,d5259bec-d329-4503-abc9-cf9fb09a860f.geojson,0.021790227,0.618691468,1820.2,69.98,1
21,fcaba858-c5fa-4f8c-a3a9-ba9566fa6982.geojson,0.019489049,0.62053877,1820.2,69.98,1
1,09a4c614-583c-43d4-a3b3-d79383a66e88.geojson,0.023871945,0.625679341,1820.2,69.98,2
2,22f0dfab-f1e6-41dc-85a1-08edaa49a843.geojson,0.021730313,0.618608449,1820.2,69.98,2
3,2bf12142-92e5-4e7a-b948-31d505157833.geojson,0.021432096,0.618667123,1820.2,69.98,2
4,31ec6ad3-15d2-4587-96fa-42346edf1b73.geojson,0.058224122,0.625412251,1820.2,69.98,2
5,37d7d067-cf14-4826-b0eb-e8fadf717c6d.geojson,-0.023598135,0.62367494,1820.2,69.98,2
6,3cde0950-c073-44e9-b00b-a8fe9ee4cecc.geojson,0.023231502,0.625604458,1820.2,69.98,2
7,434e4399-32ff-4967-970e-86166f19bd0d.geojson,-0.011608647,0.621991218,1820.2,69.98,2
8,491df8d2-e1cf-4f39-a783-ea039ddce3f5.geojson,0.019336922,0.620420897,1820.2,69.98,2
9,4b9a483a-0b2b-4ee3-9018-c32d890c0486.geojson,0.023245663,0.623070355,1820.2,69.98,2
10,7a896b3e-8da7-4d84-bafb-cdaffbb3c4b3.geojson,0.058101337,0.625205418,1820.2,69.98,2
11,887b97c7-9318-4027-91a5-b986c5114771.geojson,0.023944929,0.623029232,1820.2,69.98,2
