path,variance,disconnected_components,competitive_districts,racial_dissimilarity,compactness
b8a6df2f-45f2-4b1b-88d6-e6e7e0972913.geojson,2.440004497,0,12,0.375334754,0.630911904
3cde0950-c073-44e9-b00b-a8fe9ee4cecc.geojson,2.440004497,0,12,0.375334754,0.63114717
211de103-91b8-4e72-9cd6-68e280daf331.geojson,2.440004497,0,12,0.375535968,0.631173783
1b85b5a0-5025-475a-ad98-6747b910db33.geojson,2.440004497,0,12,0.374990976,0.62993428
b04d7999-9dad-48f1-99a0-615afb2f393a.geojson,2.397068143,0,12,0.374990976,0.629989636
197e6504-85aa-4ceb-93db-bee3002ff9fa.geojson,2.351133203,0,12,0.374163815,0.632698644
7d25d5dd-3c24-4e27-a3fe-5acc475c6ca7.geojson,2.397068143,0,12,0.374990976,0.630583808
09a4c614-583c-43d4-a3b3-d79383a66e88.geojson,2.351133203,0,12,0.374163815,0.6326567
173e69aa-6f2d-4889-934d-94ef2ac413df.geojson,2.351133203,0,12,0.374163815,0.632805304
0e5e57a2-f24b-4ecf-8f62-415466d8b1cd.geojson,2.351133203,0,12,0.374163815,0.632421164
a08ee1e8-511a-43cb-b404-dcc4b734a317.geojson,2.351133203,0,12,0.374870673,0.631834652
65de0ba3-dd4c-4feb-898e-59fed5e6ca4f.geojson,2.351133203,0,12,0.374163815,0.631632862
527a208f-59a2-48be-95d6-97fb52f38789.geojson,2.397068143,0,12,0.374990976,0.630719578
d95d0ffb-c830-4337-8225-79c6859b7d4c.geojson,2.397068143,0,12,0.374842461,0.631197858
3232836f-5c26-4bc5-a4c9-b4d15989f335.geojson,2.440004497,0,12,0.374842461,0.631142503
cafbd0bb-1060-4a9e-ab5e-8c71be27c736.geojson,2.440004497,0,12,0.374842461,0.631068991
3d901abd-8003-4e36-b801-9f21e3770928.geojson,2.374250035,0,14,0.362707879,0.640518116
aabd597a-9e4b-455b-a2c5-7ca760e56607.geojson,2.374250035,0,14,0.363346498,0.64057847
993589d1-1dde-4d17-b97b-0de430bc69ee.geojson,2.374250035,0,14,0.363346498,0.640868175
4b9a483a-0b2b-4ee3-9018-c32d890c0486.geojson,2.374250035,0,14,0.363346498,0.641109659
a951c918-9a19-43c0-bb57-5b5c431bdd60.geojson,2.587093503,0,14,0.35709941,0.64760997
089d0e84-9782-4798-b53e-4e72a8976316.geojson,2.517775008,0,13,0.356752735,0.645494757
0e0f647a-736e-442e-a6ca-bb4085e79296.geojson,2.517775008,0,14,0.356885352,0.648110972
4715f7a1-67c7-41a4-8bfa-eabbd8a63059.geojson,2.517775008,0,14,0.356930166,0.647149451
8e193ca6-6195-4a36-b32c-ede2b26a493d.geojson,2.517775008,0,13,0.356752735,0.647198403
812b2e17-1820-45df-a6cd-8f536287e203.geojson,2.517775008,0,14,0.356885352,0.64757773
6be00bc2-3de2-4266-bf86-fc61ffb204a4.geojson,2.587093503,0,14,0.35709941,0.647436231
c8a51b07-3153-4dfb-bc5f-f67428cca304.geojson,2.517775008,0,13,0.356752735,0.646087566
fcc3ea2e-aa2e-4461-a17a-774e22ebc60e.geojson,2.587093503,0,14,0.35709941,0.646550905
00f76ee5-7db6-4c28-a64e-a9cb3a587854.geojson,2.517775008,0,14,0.356885352,0.646902236
ea166ee9-ee10-4816-a016-d8d29699186b.geojson,2.517775008,0,13,0.356752735,0.646415223
fa9de5f0-95e9-4f53-905f-eebe319f2948.geojson,2.587093503,0,14,0.35709941,0.647199338
22995c74-6347-4b87-a481-7765c05a54a5.geojson,2.517775008,0,14,0.356885352,0.647470572
9ec6b4e9-29b1-4e90-bba7-9095638ea52e.geojson,2.517775008,0,14,0.356885352,0.647242575
be48df26-ea1e-4607-987f-dc3a78a866dd.geojson,2.517775008,0,13,0.356752735,0.645434177
76f55a91-cbb0-4f6a-89a6-a521abdeaf93.geojson,2.587093503,0,14,0.35709941,0.646822204
c13ff3c0-6bce-46bb-8013-16cd78580aba.geojson,2.517775008,0,13,0.356752735,0.646429167
aa4b5884-5eda-4b3f-870a-fe96a16484f8.geojson,2.587093503,0,14,0.35709941,0.646739997
9b557b17-8dbf-43d2-a89c-14ef1a5012f3.geojson,2.517775008,0,13,0.356752735,0.645627144
491df8d2-e1cf-4f39-a783-ea039ddce3f5.geojson,2.517775008,0,13,0.356752735,0.647166184
90f842e8-3478-4740-9f36-5c9de27e4418.geojson,2.587093503,0,14,0.35709941,0.646652005
9e8a9dd7-3201-4025-bbe4-21818f9ae540.geojson,2.517775008,0,14,0.356885352,0.646949
5e9b89a7-8cf1-4a92-9ecf-4ef4a125ccbb.geojson,3.747638162,0,9,0.37167659,0.631510005
e9b4cdbc-d6de-47ce-8e98-382589049958.geojson,3.747638162,0,9,0.37167659,0.630914565
300f7cb9-9fa2-49de-aa07-d83121376c1f.geojson,3.747638162,0,10,0.372098836,0.633077226
81c3a4d5-ffe1-401d-a3e9-e6565e5b1d4e.geojson,3.747638162,0,10,0.372040548,0.631717206
de03305b-b439-42ad-995c-fec667ca803c.geojson,3.747638162,0,10,0.372241684,0.633321627
