Group.1,ideal_point,ideal_point_se
20105,-0.414185484,0.586954258
20106,1.332015917,0.641363355
20109,-0.315380657,0.569147738
20110,0.086631457,0.667953403
20111,-0.140213585,0.581964428
20112,0.179230596,0.579872847
20115,0.069092405,0.555332315
20117,-0.785559107,0.518355508
20118,-1.981816093,0.487116021
20119,-0.667970073,0.489677701
20120,0.167381276,0.668833799
20121,0.070770952,0.581988139
20124,0.347137057,0.523781949
20132,0.119216532,0.592743655
20135,0.929135899,0.482084125
20136,0.698194144,0.528484414
20137,-0.531366004,0.568125562
20141,0.076701312,0.630552774
20143,0.786886828,0.583821223
20147,-0.178990823,0.621468211
20148,-0.221735533,0.539238235
20151,0.12159015,0.582325664
20152,0.195047476,0.562010204
20155,0.195136497,0.579222258
20158,-0.582819376,0.519909601
20164,0.134843544,0.592744474
20165,-0.002572806,0.652132247
20166,-0.714106454,0.555491795
20169,0.373243564,0.568643309
20170,0.45159213,0.595744132
20171,-0.249657131,0.564521734
20175,-0.063295728,0.665953924
20176,-0.294341847,0.569277942
20180,0.662823198,0.552509837
20181,0.346827889,0.549895292
20186,0.257852835,0.543291463
20187,-0.117275447,0.595335921
20190,0.003220169,0.547291674
20191,-0.30720592,0.6063145
20194,0.122229086,0.627273926
20198,0.733486612,0.708543166
22003,0.069157045,0.65041179
22015,-0.066871056,0.580088063
22025,0.52876657,0.506261073
22026,-0.640017735,0.608810061
22027,-0.178042824,0.829146895
22030,-0.058952414,0.598656842
22031,-0.716385129,0.555004775
22032,-0.391025858,0.55922863
22033,0.097277488,0.555103898
22039,0.156422598,0.623603088
22041,-0.377682063,0.669207417
22042,-0.297486573,0.678336767
22043,-0.690407728,0.704553501
22044,-0.621412256,0.651094353
22046,-0.119806422,0.647772661
22060,-0.835387154,0.594989523
22066,-0.60933191,0.643440963
22079,0.395176966,0.573557314
22101,-0.381059603,0.65167817
22102,0.204258808,0.648539397
22124,-0.298903448,0.603948859
22125,0.822190709,0.423687147
22134,0.791318369,0.603733763
22150,-0.311114297,0.702696074
22151,-0.838686721,0.606722574
22152,-0.259145852,0.618541802
22153,-0.024525461,0.650812407
22172,-0.614306709,0.643028399
22180,0.419277521,0.590843745
22181,-0.079763946,0.69943604
22182,0.000257286,0.675267704
22191,-0.491427684,0.610738916
22192,-0.075042789,0.639256939
22193,0.199468744,0.681887558
22201,-0.628303876,0.630087738
22202,-0.86241082,0.615684054
22203,-0.736384769,0.64491626
22204,-0.860816983,0.703523881
22205,-1.107130104,0.611952176
22206,-0.728969644,0.606521426
22207,-0.598493172,0.631203457
22209,0.014402556,0.556567919
22213,-0.507567325,0.572234054
22214,0.602242866,0.25582308
22301,-0.786516995,0.617811471
22302,-0.975549416,0.582831843
22303,-0.678987599,0.665587735
22304,-0.463106485,0.619762907
22305,-0.758585387,0.65262758
22306,-0.312730593,0.558201284
22307,-0.98099037,0.591362423
22308,-0.570904333,0.649226181
22309,0.022406405,0.584676576
22310,0.128325682,0.569876084
