"ID","Area","ZCTA5CE00","CLASSFP00","MTFCC00","FUNCSTAT00"
1,0.181577,"40965","B5","G6350","S"
2,0.155069,"40867","B5","G6350","S"
3,0.042303,"40828","B5","G6350","S"
4,0.049931,"40843","B5","G6350","S"
5,0.099594,"40927","B5","G6350","S"
6,0.116702,"40820","B5","G6350","S"
7,0.085951,"40855","B5","G6350","S"
8,0.027680,"408XX","B5","G6350","S"
9,0.016342,"40815","B5","G6350","S"
10,0.163788,"40826","B5","G6350","S"
11,0.033414,"41537","B5","G6350","S"
12,0.000026,"41837","B5","G6350","S"
13,0.027031,"41548","B5","G6350","S"
14,0.026400,"41522","B5","G6350","S"
15,0.001799,"41568","B5","G6350","S"
16,0.047300,"41563","B5","G6350","S"
17,0.015898,"41566","B5","G6350","S"
18,0.000852,"41547","B5","G6350","S"
19,0.045224,"41553","B5","G6350","S"
20,0.130953,"26838","B5","G6350","S"
21,0.064446,"26836","B5","G6350","S"
22,0.115274,"26851","B5","G6350","S"
23,0.067562,"26812","B5","G6350","S"
24,0.055590,"25434","B5","G6350","S"
25,0.016093,"25411","B5","G6350","S"
26,0.000000,"25427","B5","G6350","S"
27,0.002535,"26807","B5","G6350","S"
28,0.107400,"26815","B5","G6350","S"
29,0.045249,"26804","B5","G6350","S"
30,0.102030,"26802","B5","G6350","S"
31,0.034224,"25608","B5","G6350","S"
32,0.002038,"25421","B5","G6350","S"
33,0.012994,"25413","B5","G6350","S"
34,0.001413,"25420","B5","G6350","S"
35,0.346050,"24986","B5","G6350","S"
36,0.003382,"249XX","B5","G6350","S"
37,0.191544,"25425","B5","G6350","S"
38,0.000774,"25430","B5","G6350","S"
39,0.000108,"254HH","B5","G6350","S"
40,0.001954,"25441","B5","G6350","S"
41,0.006206,"25414","B5","G6350","S"
42,0.004438,"25446","B5","G6350","S"
43,0.213843,"24954","B5","G6350","S"
44,0.034041,"24934","B5","G6350","S"
45,0.197745,"24920","B5","G6350","S"
46,0.093086,"24944","B5","G6350","S"
47,0.012985,"24951","B5","G6350","S"
48,0.044713,"24941","B5","G6350","S"
49,0.023662,"24983","B5","G6350","S"
50,0.059630,"24984","B5","G6350","S"
51,0.047183,"26817","B5","G6350","S"
52,0.077450,"26808","B5","G6350","S"
53,0.011512,"26711","B5","G6350","S"
54,0.015977,"24701","B5","G6350","S"
55,0.000982,"24715","B5","G6350","S"
56,0.017408,"24740","B5","G6350","S"
57,0.060061,"24871","B5","G6350","S"
58,0.068745,"24873","B5","G6350","S"
59,0.057864,"24884","B5","G6350","S"
60,0.156236,"24815","B5","G6350","S"
61,0.094516,"24848","B5","G6350","S"
62,0.170364,"24862","B5","G6350","S"
63,0.072185,"24850","B5","G6350","S"
64,0.053759,"24872","B5","G6350","S"
65,0.068148,"24892","B5","G6350","S"
66,0.000331,"259HH","B5","G6350","S"
67,0.052788,"24963","B5","G6350","S"
68,0.056700,"256HH","B5","G6350","S"
69,46.335018,"24179","B5","G6350","S"
70,77.966682,"24104","B5","G6350","S"
71,31.054604,"24502","B5","G6350","S"
72,3.760647,"24536","B5","G6350","S"
73,39.355621,"24556","B5","G6350","S"
74,37.442760,"24503","B5","G6350","S"
75,57.552650,"24101","B5","G6350","S"
76,31.136303,"24139","B5","G6350","S"
77,34.410210,"24122","B5","G6350","S"
78,74.581741,"24526","B5","G6350","S"
79,211.045853,"24523","B5","G6350","S"
80,65.899475,"24550","B5","G6350","S"
81,22.736305,"23963","B5","G6350","S"
82,79.150467,"24538","B5","G6350","S"
83,128.027008,"24554","B5","G6350","S"
84,73.734299,"24588","B5","G6350","S"
85,32.897339,"24504","B5","G6350","S"
86,37.165993,"24501","B5","G6350","S"
87,36.522430,"24517","B5","G6350","S"
88,96.913162,"24528","B5","G6350","S"
89,34.892517,"24569","B5","G6350","S"
90,64.641479,"24483","B5","G6350","S"
91,82.071449,"24572","B5","G6350","S"
92,55.608253,"22922","B5","G6350","S"
93,129.180176,"24574","B5","G6350","S"
94,112.614090,"24553","B5","G6350","S"
95,1.241533,"24595","B5","G6350","S"
96,3.858207,"24533","B5","G6350","S"
97,221.793961,"24521","B5","G6350","S"
98,18.739248,"245HH","B5","G6350","S"
99,72.183365,"22967","B5","G6350","S"
100,24.158554,"24072","B5","G6350","S"
101,38.271385,"24079","B5","G6350","S"
102,55.959518,"24149","B5","G6350","S"
103,171.091843,"24091","B5","G6350","S"
104,32.732300,"24138","B5","G6350","S"
105,61.079052,"24141","B5","G6350","S"
106,27.326752,"24292","B5","G6350","S"
107,74.126251,"24363","B5","G6350","S"
108,108.980957,"24348","B5","G6350","S"
109,77.786995,"24378","B5","G6350","S"
110,56.274536,"24326","B5","G6350","S"
111,183.716965,"234HH","B5","G6350","S"
112,7.152500,"23395","B5","G6350","S"
113,47.119560,"23417","B5","G6350","S"
114,10.874496,"23409","B5","G6350","S"
115,2.682384,"23389","B5","G6350","S"
116,0.124469,"23302","B5","G6350","S"
117,3.009483,"23426","B5","G6350","S"
118,4.828481,"23480","B5","G6350","S"
119,5.856872,"23358","B5","G6350","S"
120,0.187888,"23441","B5","G6350","S"
121,34.163891,"23423","B5","G6350","S"
122,37.192940,"23308","B5","G6350","S"
123,11.560478,"23306","B5","G6350","S"
124,3.991292,"23404","B5","G6350","S"
125,31.095314,"23421","B5","G6350","S"
126,30.623199,"23442","B5","G6350","S"
127,6.050830,"23418","B5","G6350","S"
128,7.606560,"23488","B5","G6350","S"
129,2.720510,"23401","B5","G6350","S"
130,27.800623,"23301","B5","G6350","S"
131,73.609497,"24589","B5","G6350","S"
132,93.652061,"24520","B5","G6350","S"
133,161.428619,"24557","B5","G6350","S"
134,90.148506,"24558","B5","G6350","S"
135,73.798164,"24598","B5","G6350","S"
136,136.714264,"24592","B5","G6350","S"
137,6.171366,"24539","B5","G6350","S"
138,50.735836,"24597","B5","G6350","S"
139,58.579353,"24565","B5","G6350","S"
140,74.491646,"24534","B5","G6350","S"
141,48.205494,"24594","B5","G6350","S"
142,189.694290,"24577","B5","G6350","S"
143,74.024307,"23192","B5","G6350","S"
144,33.468624,"23146","B5","G6350","S"
145,43.119820,"23047","B5","G6350","S"
146,58.838486,"23116","B5","G6350","S"
147,86.591751,"23015","B5","G6350","S"
148,74.952103,"23111","B5","G6350","S"
149,28.616430,"23102","B5","G6350","S"
150,65.640488,"23124","B5","G6350","S"
151,43.444824,"23059","B5","G6350","S"
152,154.038818,"22546","B5","G6350","S"
153,72.501602,"23005","B5","G6350","S"
154,64.595184,"23069","B5","G6350","S"
155,108.854889,"23024","B5","G6350","S"
156,3.881278,"23416","B5","G6350","S"
157,36.559502,"23415","B5","G6350","S"
158,22.492540,"23336","B5","G6350","S"
159,2.266674,"23303","B5","G6350","S"
160,3.090090,"23407","B5","G6350","S"
161,37.248409,"23420","B5","G6350","S"
162,3.965450,"23356","B5","G6350","S"
163,172.571014,"233HH","B5","G6350","S"
164,10.636123,"23359","B5","G6350","S"
165,2.939964,"23440","B5","G6350","S"
166,5.790524,"23357","B5","G6350","S"
167,31.121252,"23410","B5","G6350","S"
168,5.771395,"23427","B5","G6350","S"
169,12.380556,"23337","B5","G6350","S"
170,80.304779,"24318","B5","G6350","S"
171,84.868256,"24314","B5","G6350","S"
172,37.206760,"24366","B5","G6350","S"
173,83.506401,"24124","B5","G6350","S"
174,201.738190,"24315","B5","G6350","S"
175,11.995154,"23845","B5","G6350","S"
