"ID","Area","ZCTA5CE00","CLASSFP00","MTFCC00","FUNCSTAT00","Group.1","ideal_point","ideal_point_se"
1,0.181577,"40965","B5","G6350","S",40965,-0.077265,0.648779
2,0.155069,"40867","B5","G6350","S",,,
3,0.042303,"40828","B5","G6350","S",40828,0.101046,0.563421
4,0.049931,"40843","B5","G6350","S",,,
5,0.099594,"40927","B5","G6350","S",40927,-0.075865,0.953109
6,0.116702,"40820","B5","G6350","S",,,
7,0.085951,"40855","B5","G6350","S",40855,-0.426862,0.693832
8,0.027680,"408XX","B5","G6350","S",,,
9,0.016342,"40815","B5","G6350","S",40815,-0.171098,0.654060
10,0.163788,"40826","B5","G6350","S",40826,-0.413234,0.785679
11,0.033414,"41537","B5","G6350","S",41537,-0.583863,0.561021
12,0.000026,"41837","B5","G6350","S",41837,1.726944,0.463272
13,0.027031,"41548","B5","G6350","S",41548,-1.114494,0.615710
14,0.026400,"41522","B5","G6350","S",41522,0.166559,0.564937
15,0.001799,"41568","B5","G6350","S",,,
16,0.047300,"41563","B5","G6350","S",,,
17,0.015898,"41566","B5","G6350","S",41566,0.278854,0.391179
18,0.000852,"41547","B5","G6350","S",,,
19,0.045224,"41553","B5","G6350","S",41553,0.360356,0.596338
20,0.130953,"26838","B5","G6350","S",,,
21,0.064446,"26836","B5","G6350","S",26836,-0.192328,0.768494
22,0.115274,"26851","B5","G6350","S",26851,-0.123475,0.514959
23,0.067562,"26812","B5","G6350","S",26812,-0.279289,0.585576
24,0.055590,"25434","B5","G6350","S",25434,-1.297585,0.687664
25,0.016093,"25411","B5","G6350","S",25411,0.288567,0.621337
26,0.000000,"25427","B5","G6350","S",25427,0.447262,0.583358
27,0.002535,"26807","B5","G6350","S",26807,1.230254,0.593360
28,0.107400,"26815","B5","G6350","S",,,
29,0.045249,"26804","B5","G6350","S",26804,0.586942,0.569931
30,0.102030,"26802","B5","G6350","S",,,
31,0.034224,"25608","B5","G6350","S",25608,0.075263,0.578376
32,0.002038,"25421","B5","G6350","S",,,
33,0.012994,"25413","B5","G6350","S",25413,0.328015,0.654666
34,0.001413,"25420","B5","G6350","S",25420,-0.337520,0.468411
35,0.346050,"24986","B5","G6350","S",24986,-0.526784,0.742535
36,0.003382,"249XX","B5","G6350","S",,,
37,0.191544,"25425","B5","G6350","S",25425,-0.559055,0.678138
38,0.000774,"25430","B5","G6350","S",25430,-0.400671,0.667046
39,0.000108,"254HH","B5","G6350","S",,,
40,0.001954,"25441","B5","G6350","S",,,
41,0.006206,"25414","B5","G6350","S",25414,-0.046663,0.598039
42,0.004438,"25446","B5","G6350","S",,,
43,0.213843,"24954","B5","G6350","S",24954,0.272669,0.563617
44,0.034041,"24934","B5","G6350","S",24934,0.056532,0.757352
45,0.197745,"24920","B5","G6350","S",,,
46,0.093086,"24944","B5","G6350","S",24944,2.137293,0.603586
47,0.012985,"24951","B5","G6350","S",,,
48,0.044713,"24941","B5","G6350","S",24941,0.689848,0.926684
49,0.023662,"24983","B5","G6350","S",24983,1.318122,0.640735
50,0.059630,"24984","B5","G6350","S",,,
51,0.047183,"26817","B5","G6350","S",26817,2.040625,0.475319
52,0.077450,"26808","B5","G6350","S",,,
53,0.011512,"26711","B5","G6350","S",26711,0.067102,1.050457
54,0.015977,"24701","B5","G6350","S",24701,0.645743,0.637746
55,0.000982,"24715","B5","G6350","S",24715,-0.813456,0.665834
56,0.017408,"24740","B5","G6350","S",24740,0.004060,0.679532
57,0.060061,"24871","B5","G6350","S",,,
58,0.068745,"24873","B5","G6350","S",24873,-0.232684,0.417060
59,0.057864,"24884","B5","G6350","S",,,
60,0.156236,"24815","B5","G6350","S",,,
61,0.094516,"24848","B5","G6350","S",,,
62,0.170364,"24862","B5","G6350","S",,,
63,0.072185,"24850","B5","G6350","S",24850,-0.096217,0.914261
64,0.053759,"24872","B5","G6350","S",24872,0.380834,0.492995
65,0.068148,"24892","B5","G6350","S",24892,-0.125221,1.102703
