PRECINCT,COUNTY,PRECINCT2,NAME,surveyed_d,surveyed_i,surveyed_1,surveyed_r,surveyed_b,surveyed_l,surveyed_t,population,demo_total,demo_white,demo_black,demo_india,demo_asian,demo_hawai,demo_other,cluster,meanID,meanAREA,meanForVA2007Q,meanForVA200_1,meanForVA2007QGISJoin_ideal_point,meanForVA2007QGISJoin_ideal_point_se,count
110,041,0110,DUTCH GAP,0.00000,0.00000,0.00000,93.06358,6.93642,0.00000,692.00000,2826.29532,2050.33302,67.13991,25.42555,0.38276,4.61652,0.09755,1.15860,29.00000,474.00000,25.89667,0.33815,0.62572,0.33815,0.62572,3.00000
111,041,0111,IRON BRIDGE,0.00000,0.00000,0.00000,91.49453,8.50547,0.00000,1646.00000,6561.34548,5027.78543,70.18422,24.23788,0.41846,2.31723,0.17931,1.11939,23.00000,460.00000,47.43000,0.07651,0.58054,0.07651,0.58054,6.00000
112,041,0112,CARVER,0.00000,0.00000,0.00000,91.28959,8.71041,0.00000,884.00000,3751.21721,2709.64506,63.71838,29.85603,0.28694,2.71302,0.21819,1.37100,29.00000,472.00000,48.28333,0.39216,0.56490,0.39216,0.56490,3.00000
202,187,0202,LINDEN,37.54081,0.00000,0.00000,62.13275,0.32644,0.00000,919.00000,3453.97635,2556.22614,93.56896,1.70806,0.81745,1.23579,0.03912,1.35503,84.00000,648.00000,67.51333,0.20630,0.58072,0.20630,0.58072,3.00000
008,770,0008,JEFFERSON 2,95.46667,0.00000,0.00000,0.00000,4.53333,0.00000,375.00000,1967.22675,1656.96015,90.68142,6.03784,0.11829,1.37411,0.06050,0.33732,79.00000,358.00000,13.70667,-0.19333,0.53073,-0.19333,0.53073,3.00000
501,003,0501,KESWICK,0.00000,0.00000,0.00000,93.13305,6.86695,0.00000,466.00000,1967.28706,1592.26167,80.84820,16.60936,0.12561,0.32557,0.06280,0.44430,41.00000,393.00000,65.91250,-0.15837,0.66723,-0.15837,0.66723,4.00000
501,193,0501,PRECINCT 5-1,27.61095,0.00000,5.04916,64.94818,2.39171,0.00000,3763.00000,3244.73038,2579.56362,81.63965,14.82686,0.46636,0.86826,0.03877,0.52197,97.00000,728.00000,32.02500,0.94763,0.57576,0.94763,0.57576,2.00000
602,177,0602,SMITH STATION,0.00000,0.00000,0.00000,87.86611,12.13389,0.00000,1434.00000,7709.12409,5144.76566,69.77202,20.17123,0.46744,3.33368,0.15110,3.89212,91.00000,530.00000,135.40500,0.31886,0.62763,0.31886,0.62763,2.00000
603,177,0603,PIEDMONT,0.00000,0.00000,0.00000,88.34808,11.65192,0.00000,678.00000,4031.88186,2931.03737,74.19585,14.51334,0.30907,2.38291,0.13540,5.82825,65.00000,337.00000,57.98000,0.37581,0.59637,0.37581,0.59637,1.00000
601,177,0601,SALEM,0.00000,0.00000,19.32367,80.51530,0.16103,0.00000,621.00000,6069.00928,4336.34355,69.23594,20.80710,0.42734,2.83291,0.02838,4.37341,91.00000,530.00000,135.40500,0.31886,0.62763,0.31886,0.62763,2.00000
307,153,0307,HENDERSON,61.23249,0.00000,0.00000,35.68627,3.08123,0.00000,1785.00000,6620.40326,4692.44098,66.92997,20.43448,0.59239,5.39043,0.10076,2.97957,16.00000,879.00000,16.87500,-0.22027,0.64535,-0.22027,0.64535,2.00000
502,003,0502,STONY POINT,0.00000,0.00000,0.00000,92.33390,7.66610,0.00000,587.00000,2109.95872,1622.24530,92.45278,5.25460,0.06167,0.92998,0.00000,0.43171,15.00000,427.00000,63.67800,-0.19471,0.64812,-0.19471,0.64812,5.00000
503,171,0503,TOMS BROOK,0.00000,0.00000,0.00000,96.14350,3.85650,0.00000,1115.00000,4019.25930,3189.15499,96.93403,0.71886,0.12485,0.40633,0.09386,0.78004,56.00000,696.00000,35.65833,-0.07001,0.61684,-0.07001,0.61684,6.00000
501,171,0501,CEDAR CREEK,0.00000,0.00000,30.27375,69.56522,0.16103,0.00000,621.00000,178.98285,159.23432,99.46883,0.52343,0.00226,0.00047,0.00129,0.00000,56.00000,580.00000,48.41667,0.27092,0.60822,0.27092,0.60822,6.00000
302,021,0302,MECHANICSBURG,25.74257,0.00000,0.00000,74.25743,0.00000,0.00000,101.00000,993.98402,923.63098,83.10694,16.56557,0.00000,0.00000,0.00000,0.10827,94.00000,497.00000,131.56333,0.33863,0.68274,0.33863,0.68274,3.00000
301,021,0301,HOLLYBROOK,93.09309,0.00000,0.00000,0.00000,6.90691,0.00000,333.00000,786.28076,628.42541,97.78729,1.10892,0.00000,0.00000,0.15416,0.15913,94.00000,314.00000,114.95000,0.22788,0.74988,0.22788,0.74988,3.00000
506,003,0506,BAKER-BUTLER,0.00000,0.00000,0.00000,95.04870,4.95130,0.00000,1232.00000,4145.60465,2963.59444,89.14369,4.91714,0.30367,4.22283,0.03387,0.44518,15.00000,485.00000,46.86000,0.06166,0.56186,0.06166,0.56186,2.00000
001,770,0001,HIGHLAND 1,96.96049,0.00000,0.00000,0.00000,3.03951,0.00000,329.00000,3298.26062,2684.97711,50.92403,42.67777,0.37150,1.48733,0.00000,1.73768,47.00000,359.00000,2.61750,-0.54000,0.53387,-0.54000,0.53387,4.00000
008,810,0008,LONDON BRIDGE,44.29590,0.00000,0.00000,55.70410,0.00000,0.00000,1122.00000,5567.43948,4328.51784,78.38172,13.23651,0.53014,3.15253,0.18495,1.95176,43.00000,275.00000,75.16000,0.17573,0.59027,0.17573,0.59027,4.00000
009,810,0009,TRANTWOOD,36.32417,0.00000,0.00000,63.60347,0.07236,0.00000,1382.00000,3571.66590,2715.91115,94.44933,1.33484,0.47646,2.44519,0.03723,0.66328,11.00000,220.00000,107.27500,-0.00925,0.62207,-0.00925,0.62207,2.00000
004,810,0004,LINKHORN,36.91329,0.00000,0.00000,62.92761,0.15911,0.00000,1257.00000,4757.67089,3947.92158,86.39786,7.18488,0.21432,1.59510,0.10095,1.99428,11.00000,257.00000,77.19000,0.04332,0.61459,0.04332,0.61459,3.00000
005,810,0005,SEATACK,0.00000,0.00000,0.00000,89.77695,10.22305,0.00000,538.00000,6264.68131,4746.45668,62.03132,26.18614,0.65482,2.32426,0.19447,5.75052,11.00000,257.00000,77.19000,0.04332,0.61459,0.04332,0.61459,3.00000
006,810,0006,ALANTON,37.16994,0.00000,0.00000,62.76236,0.06770,0.00000,1477.00000,4069.25076,3202.31394,94.00587,3.00666,0.08668,2.02734,0.06245,0.22656,11.00000,220.00000,107.27500,-0.00925,0.62207,-0.00925,0.62207,2.00000
007,810,0007,KINGSTON,0.00000,0.00000,0.00000,98.19005,1.80995,0.00000,884.00000,2571.55449,1949.00173,94.54543,1.09116,0.11679,2.84299,0.00000,0.59400,86.00000,220.00000,99.27500,-0.17922,0.57599,-0.17922,0.57599,2.00000
001,810,0001,NORTH BEACH,37.49208,0.00000,0.00000,62.25459,0.25332,0.00000,1579.00000,3958.98763,3184.55942,95.46726,1.71549,0.21981,1.24689,0.00000,0.30579,11.00000,221.00000,100.37000,0.09590,0.60712,0.09590,0.60712,2.00000
002,810,0002,SOUTH BEACH,44.48052,0.00000,0.00000,55.41126,0.10823,0.00000,924.00000,6109.42564,5184.52693,81.31563,10.85710,0.51062,2.25434,0.11582,2.21069,11.00000,221.00000,100.37000,0.09590,0.60712,0.09590,0.60712,2.00000
003,810,0003,OCEAN LAKES,41.08761,0.00000,0.00000,58.76133,0.15106,0.00000,1324.00000,6939.14982,5054.93957,79.27723,11.76237,0.35288,3.93025,0.14557,1.79240,57.00000,330.00000,30.83000,-0.00925,0.62207,-0.00925,0.62207,1.00000
002,770,0002,HIGHLAND 2,97.36842,0.00000,0.00000,0.00000,2.63158,0.00000,494.00000,3044.91989,2628.86732,78.25203,15.12575,0.72522,2.16479,0.07608,1.07819,79.00000,358.00000,9.20200,-0.32740,0.54969,-0.32740,0.54969,5.00000
049,550,0049,WATERWAY,38.48758,0.00000,0.00000,61.06095,0.45147,0.00000,1772.00000,5257.21223,4013.11922,69.49801,17.96459,0.25350,9.62707,0.10363,0.53512,87.00000,351.00000,89.52600,0.43331,0.60807,0.43331,0.60807,5.00000
048,550,0048,JOLLIFF MIDDLE SCHOOL,98.88889,0.00000,0.00000,0.00000,1.11111,0.00000,1080.00000,4885.50481,3292.73234,15.98333,78.30997,0.45386,1.85062,0.06147,0.96329,73.00000,446.00000,52.76333,-0.12618,0.58505,-0.12618,0.58505,3.00000
303,199,0303,EDGEHILL,22.87637,0.00000,0.00000,71.23633,5.88730,0.00000,1189.00000,4756.02941,3606.31036,66.87984,26.61124,0.39189,2.60931,0.33060,1.08711,74.00000,524.00000,14.19286,0.25862,0.64508,0.25862,0.64508,7.00000
101,187,0101,FORK TOWN,0.00000,0.00000,1.98413,92.65873,5.35714,0.00000,504.00000,2894.80886,2159.79513,90.20805,5.58387,0.35884,1.15683,0.03984,1.39182,84.00000,617.00000,64.41000,0.03988,0.60955,0.03988,0.60955,2.00000
