ID,ZCTA5CE00,CLASSFP00,MTFCC00,FUNCSTAT00
1,96763,B5,G6350,S
2,96732,B5,G6350,S
3,96757,B5,G6350,S
4,96713,B5,G6350,S
5,967HH,B5,G6350,S
6,967XX,B5,G6350,S
7,96761,B5,G6350,S
8,96790,B5,G6350,S
9,96748,B5,G6350,S
10,96708,B5,G6350,S
11,96779,B5,G6350,S
12,96729,B5,G6350,S
13,96793,B5,G6350,S
14,96770,B5,G6350,S
15,96768,B5,G6350,S
16,96753,B5,G6350,S
17,96742,B5,G6350,S
18,96705,B5,G6350,S
19,96769,B5,G6350,S
20,96752,B5,G6350,S
21,96714,B5,G6350,S
22,96754,B5,G6350,S
23,96756,B5,G6350,S
24,96722,B5,G6350,S
25,96703,B5,G6350,S
26,96751,B5,G6350,S
27,96747,B5,G6350,S
28,96766,B5,G6350,S
29,96716,B5,G6350,S
30,96796,B5,G6350,S
31,96746,B5,G6350,S
32,96741,B5,G6350,S
33,96783,B5,G6350,S
34,96773,B5,G6350,S
35,96781,B5,G6350,S
36,96774,B5,G6350,S
37,96738,B5,G6350,S
38,96760,B5,G6350,S
39,96771,B5,G6350,S
40,96755,B5,G6350,S
41,96710,B5,G6350,S
42,96743,B5,G6350,S
43,96704,B5,G6350,S
44,96737,B5,G6350,S
45,96720,B5,G6350,S
46,96725,B5,G6350,S
47,96719,B5,G6350,S
48,96764,B5,G6350,S
49,96728,B5,G6350,S
50,96777,B5,G6350,S
51,96749,B5,G6350,S
52,96740,B5,G6350,S
53,96778,B5,G6350,S
54,96785,B5,G6350,S
55,96727,B5,G6350,S
56,96772,B5,G6350,S
57,96750,B5,G6350,S
58,96776,B5,G6350,S
59,96718,B5,G6350,S
60,96780,B5,G6350,S
61,96795,B5,G6350,S
62,96759,B5,G6350,S
63,96815,B5,G6350,S
64,96819,B5,G6350,S
65,96706,B5,G6350,S
66,96791,B5,G6350,S
67,96712,B5,G6350,S
68,96862,B5,G6350,S
69,96821,B5,G6350,S
70,96814,B5,G6350,S
71,96863,B5,G6350,S
72,96818,B5,G6350,S
73,96797,B5,G6350,S
74,96744,B5,G6350,S
75,96792,B5,G6350,S
76,96789,B5,G6350,S
77,96786,B5,G6350,S
78,96813,B5,G6350,S
79,96817,B5,G6350,S
80,96822,B5,G6350,S
81,96734,B5,G6350,S
82,96717,B5,G6350,S
83,968HH,B5,G6350,S
84,96707,B5,G6350,S
85,96762,B5,G6350,S
86,96826,B5,G6350,S
87,96825,B5,G6350,S
88,96730,B5,G6350,S
89,96731,B5,G6350,S
90,96782,B5,G6350,S
91,96816,B5,G6350,S
92,96701,B5,G6350,S
