path,variance,disconnected_components,competitive_districts
13766a46-23b2-4b4d-adbe-a0d0887b7ca5.geojson,2.158444594,0,12
e6cc60ff-9460-42e4-9b75-15ec948d4c55.geojson,2.158444594,0,12
3c890f09-4cb5-4c86-ba4b-210e794cdae6.geojson,2.158444594,0,12
eb01065d-0e79-4d15-93b5-1bf1a20e2e09.geojson,2.158444594,0,12
bcc5c4f5-9546-4a55-983c-9487cca6d197.geojson,2.764064133,0,15
5a43f995-d5b6-43f9-9267-b1e2cd795e89.geojson,2.764064133,0,15
18d3fdb4-f2b7-4d21-afb5-920c3889023a.geojson,2.782951119,0,15
e40ebab0-e930-4ccc-b88a-32feb2ea472a.geojson,2.782951119,0,15
ebb5785b-d39a-4bfb-85c8-96356e88b02c.geojson,2.782951119,0,15
0df89b14-3352-428b-be2f-8ece379909f8.geojson,2.764064133,0,15
f95e6995-c4a0-4579-a95b-3b4bb7a8ef49.geojson,2.764064133,0,15
d96e33e1-2df3-4e64-b7b9-07efd14407fe.geojson,2.782951119,0,15
ae386036-1273-4066-a346-c9d77336c154.geojson,2.782951119,0,15
1a5c1451-6a0b-43e6-a862-f9cfb0250482.geojson,2.782951119,0,15
d7c3cbad-ead1-4b1f-a48e-cee5efe279ff.geojson,2.764064133,0,15
d24c97d1-bed4-4405-8462-c6ea00d357c3.geojson,2.782951119,0,15
50bf9596-670b-44cc-9672-35097e375583.geojson,2.764064133,0,15
c3de65dc-6499-476e-9ecc-9d415f91e90d.geojson,2.764064133,0,15
46279eab-47da-4d54-adfc-cca5e5d62dde.geojson,2.764064133,0,15
10bf7cc3-fd91-4810-95ea-e41a54b7b3db.geojson,2.734715557,0,15
67761100-1c15-4cc6-ae81-d97a18084c80.geojson,2.782951119,0,15
0fcf298d-e7c7-441c-a7d7-c2e46a788a36.geojson,2.764064133,0,15
d354983b-1675-4089-8bae-9aff4ac570df.geojson,2.782951119,0,15
86142fe9-e022-41ed-9fa9-e56da9c49bd1.geojson,2.782951119,0,15
5b14f872-fe5b-4f72-ba82-6c9350c3a85d.geojson,3.646780353,0,12
2d9ca4d5-2bde-4d79-95b9-be20f4a04c31.geojson,3.646780353,0,12
19bc7cb7-865b-4797-aee1-2c473934af21.geojson,2.792678807,0,13
5d199723-1fee-48ae-9bfc-a7f78f1a5486.geojson,2.792678807,0,13
9bc2837f-a0a3-40a3-9f94-14cef7e4ddb5.geojson,2.792678807,0,13
7c6f8531-a4eb-4f54-b413-ad394975786b.geojson,2.792678807,0,13
d56868c7-e110-47e8-9416-c68d9ce39a63.geojson,2.792678807,0,13
729d9c74-b824-496c-91c4-410c57b90c44.geojson,2.792678807,0,12
98fda18c-9853-42b0-b3d3-6a90df8f505f.geojson,2.792678807,0,12
a0d3f19e-670e-4f70-a818-cac941c59f1b.geojson,2.792678807,0,13
d96f7f90-2f5b-4b42-828e-f836cb46b3f2.geojson,2.792678807,0,13
6d4ba5da-badf-47d2-aa47-0e8fd84cbc53.geojson,2.792678807,0,13
6bdbc425-61ff-4973-b849-899d888bc49b.geojson,2.792678807,0,13
59dae886-ada5-4e4c-a234-248ed1b8ad6b.geojson,2.792678807,0,13
885e3f44-b871-4725-a7b2-104c0a601287.geojson,2.159865517,0,15
f16aa69a-0b7d-442d-869a-20dc0ba1329e.geojson,2.159865517,0,15
a9e8e9aa-5234-4a67-923a-416de5b97d6e.geojson,2.159865517,0,15
60134624-b4f8-437a-9176-8e835dc9e640.geojson,2.159865517,0,15
d3cd6185-55fc-48ce-b9fc-e16f8b39e637.geojson,2.159865517,0,15
1f8da6ac-93dc-4c91-aa3d-837dd00b9231.geojson,2.159865517,0,15
bb80437b-52d0-4485-8c1b-72715cd39964.geojson,2.089139756,0,15
18ebbc0c-1005-4c95-aa59-d5fc47fb3635.geojson,2.159865517,0,15
ced490cc-b7fa-4ef0-b1f2-facfd650d7ec.geojson,2.159865517,0,15
74dfde15-e488-459d-b112-8ca25fcd7fe3.geojson,2.159865517,0,15
afc20b2c-0ba4-4d9c-a69a-86765c354513.geojson,2.159865517,0,15
8abbe2d9-785b-4dcb-bd24-ca8077687645.geojson,2.160224933,0,12
e7532043-1b5a-40b7-a0cf-c3ed4c630be5.geojson,2.158444594,0,12
dfe4bf71-f289-4e74-a9e4-e6d216731ac3.geojson,2.160224933,0,12
ab13b12b-76ba-4758-827e-b31a2fe517b3.geojson,2.160224933,0,12
759854ac-02bf-4823-8781-03a7d080689d.geojson,2.158444594,0,12
2591a5bf-78d9-4dc4-a6b7-f6555606fd21.geojson,2.15666626,0,12
a3b25ff2-a8cf-4a7c-8db8-786a4aad8876.geojson,2.160224933,0,12
