path,variance,disconnected_components,competitive_districts
bc2aa2ea-5312-4791-9ccc-4663c9fbed59.geojson,2.79267880724,0.0,13
a418e94e-2664-41c2-8ee5-af0f2051be7e.geojson,3.64678035273,0.0,12
4ca08e09-6d2f-48b9-be33-49d8eefd5215.geojson,2.32032051356,0.0,11
86ce9b62-e987-4b81-8992-3ad79aecf071.geojson,2.33909295494,0.0,14
e049ced1-7b13-47f4-bddb-d9a93c654401.geojson,2.76406413294,0.0,15
b47024e1-155b-4886-a52d-061b26660c79.geojson,2.08913975629,0.0,15
01dd4411-f154-41d6-9bbb-3f22d044bf48.geojson,3.06589109724,0.0,13
0ff19cad-c27a-4675-9878-b2ce2ec9012e.geojson,2.15844459398,0.0,12
769c93d1-37f3-420d-999b-5d2b2d8e4acc.geojson,2.51857777065,0.0,12
80904bf9-b2d6-461c-a83f-285f19c388eb.geojson,3.89959884944,0.0,16
