path,variance,disconnected_components
00341277-99f0-4b8d-ba90-2f2b7d2b2a25.geojson,14.4894345266,2
306d58e9-104c-4a36-b260-f7b8a1cbb628.geojson,11.7310729686,3
66f21279-574e-4711-a409-5688ae8c6c9a.geojson,11.0641919572,2
f964fe91-59db-4444-b0f7-faed58309dd7.geojson,12.8849999347,2
e2947a35-9ad0-4bbe-843f-6efdbb9d36d4.geojson,13.4252024457,0
8f43f88d-a1b2-4be0-9174-b030a3ad08cf.geojson,12.2874291037,0
fdb3b099-90f6-4b2d-816d-7d9b0284386a.geojson,12.3275843346,1
a02e7e28-b2ef-4646-9c7d-d6b742ae8051.geojson,12.4918008457,1
d77b6eb2-64d2-449d-bef9-f997fe76eac7.geojson,13.937246288,3
05fc265b-4378-44b3-8330-ba8726cafddc.geojson,13.7462098498,3
