GEO.id,GEO.id2,GEO.display-label,YEAR.id,FINTYPE.id,FINTYPE.display-label,FINSRC.id,FINSRC.display-label,AMOUNT
Geographic identifier code,Id2,Geographic area name,Year,Finance Type,Meaning of Finance Type,Finance Source ,Meaning of Finance Source ,"Amount ($1,000)"
0100000US,,United States,2015,01,Revenue,01,Total Revenue,2203229979
0100000US,,United States,2015,01,Revenue,010,General Revenue ,1853494640
0100000US,,United States,2015,01,Revenue,0101,Intergovernmental Revenue,604627441
0100000US,,United States,2015,01,Revenue,0102,Total Taxes,911697759
0100000US,,United States,2015,01,Revenue,01021,General Sales and Gross Receipts Taxes,286383078
0100000US,,United States,2015,01,Revenue,01022,Selective Sales and Gross Receipts Taxes,144933354
0100000US,,United States,2015,01,Revenue,01023,License Taxes,52032020
0100000US,,United States,2015,01,Revenue,01024,Individual Income Taxes,336172978
0100000US,,United States,2015,01,Revenue,01025,Corporation Net income Taxes,48685262
0100000US,,United States,2015,01,Revenue,01026,All Other Taxes ,43491067
0100000US,,United States,2015,01,Revenue,0103,Current Charges,198575676
0100000US,,United States,2015,01,Revenue,0104,Miscellaneous General Revenue,138593764
0100000US,,United States,2015,01,Revenue,011,Utility Revenue ,14714935
0100000US,,United States,2015,01,Revenue,012,Liquor Stores Revenue,7732037
0100000US,,United States,2015,01,Revenue,013,Insurance Trust Revenue ,327288367
0100000US,,United States,2015,02,Expenditure,02,Total Expenditure,2192506489
0100000US,,United States,2015,02,Expenditure,021,Total Expenditure - Intergovernmental Expenditure,515045908
0100000US,,United States,2015,02,Expenditure,022,Total Expenditure - Direct Expenditure,1677460581
0100000US,,United States,2015,02,Expenditure,0221,Total Expenditure - Direct Expenditure - Current Operations,1144425741
0100000US,,United States,2015,02,Expenditure,0222,Total Expenditure - Direct Expenditure - Capital Outlay,123904718
0100000US,,United States,2015,02,Expenditure,0223,Total Expenditure - Direct Expenditure - Insurance Benefits and Repayments,316628497
0100000US,,United States,2015,02,Expenditure,0224,Total Expenditure - Direct Expenditure - Assistance and Subsidies,45175756
0100000US,,United States,2015,02,Expenditure,0225,Total Expenditure - Direct Expenditure - Interest on Debt,47325869
0100000US,,United States,2015,02,Expenditure,023,Total Expenditure - General Expenditure,1840867694
0100000US,,United States,2015,02,Expenditure,0231,Total Expenditure - General Expenditure - Intergovernmental General Expenditure,515045908
0100000US,,United States,2015,02,Expenditure,0232,Total Expenditure - General Expenditure - Direct General Expenditure,1325821786
0100000US,,United States,2015,02,Expenditure,0234,"General Expenditure, by Function: - Education",637315733
0100000US,,United States,2015,02,Expenditure,02341,"General Expenditure, by Function: - Public Welfare",612553893
0100000US,,United States,2015,02,Expenditure,02342,"General Expenditure, by Function: - Hospitals",73917087
0100000US,,United States,2015,02,Expenditure,02343,"General Expenditure, by Function: - Health",62744339
0100000US,,United States,2015,02,Expenditure,02344,"General Expenditure, by Function: - Highways",120128994
0100000US,,United States,2015,02,Expenditure,02345,"General Expenditure, by Function: - Police Protection",16108379
0100000US,,United States,2015,02,Expenditure,02346,"General Expenditure, by Function: - Correction",51725417
0100000US,,United States,2015,02,Expenditure,02347,"General Expenditure, by Function: - Natural Resources",22479104
0100000US,,United States,2015,02,Expenditure,02348,"General Expenditure, by Function: - Parks and Recreation",6164247
0100000US,,United States,2015,02,Expenditure,02349,"General Expenditure, by Function: - Governmental Administration",55695710
0100000US,,United States,2015,02,Expenditure,02350,"General Expenditure, by Function: - Interest on General Debt",44835071
0100000US,,United States,2015,02,Expenditure,02351,"General Expenditure, by Function: - Other and Unallocable",137199720
0100000US,,United States,2015,02,Expenditure,025,Utility Expenditure,28826069
0100000US,,United States,2015,02,Expenditure,026,Liquor Stores Expenditure,6184229
0100000US,,United States,2015,02,Expenditure,027,Insurance Trust Expenditure,316628497
0100000US,,United States,2015,02,Expenditure,03,Total Expenditure - Exhibit: Salaries and Wages,258821325
0100000US,,United States,2015,03,"Debt Outstanding, Long Term and Short Term",98,"Total Debt Outstanding, Long term and Short Term",1150140105
0100000US,,United States,2015,04,Cash and Secuirty Holdings,99,Total Cash and Security Holdings,4755790162
0400000US01,01,Alabama,2015,01,Revenue,01,Total Revenue,26896290
0400000US01,01,Alabama,2015,01,Revenue,010,General Revenue ,24624640
0400000US01,01,Alabama,2015,01,Revenue,0101,Intergovernmental Revenue,8838667
0400000US01,01,Alabama,2015,01,Revenue,0102,Total Taxes,9755439
0400000US01,01,Alabama,2015,01,Revenue,01021,General Sales and Gross Receipts Taxes,2463912
0400000US01,01,Alabama,2015,01,Revenue,01022,Selective Sales and Gross Receipts Taxes,2472137
0400000US01,01,Alabama,2015,01,Revenue,01023,License Taxes,493883
0400000US01,01,Alabama,2015,01,Revenue,01024,Individual Income Taxes,3336587
0400000US01,01,Alabama,2015,01,Revenue,01025,Corporation Net income Taxes,533586
0400000US01,01,Alabama,2015,01,Revenue,01026,All Other Taxes ,455334
0400000US01,01,Alabama,2015,01,Revenue,0103,Current Charges,4600676
0400000US01,01,Alabama,2015,01,Revenue,0104,Miscellaneous General Revenue,1429858
0400000US01,01,Alabama,2015,01,Revenue,011,Utility Revenue ,X
0400000US01,01,Alabama,2015,01,Revenue,012,Liquor Stores Revenue,308180
0400000US01,01,Alabama,2015,01,Revenue,013,Insurance Trust Revenue ,1963470
0400000US01,01,Alabama,2015,02,Expenditure,02,Total Expenditure,29377161
0400000US01,01,Alabama,2015,02,Expenditure,021,Total Expenditure - Intergovernmental Expenditure,6612535
