"","State","Base.Year","JCTC_Dum","ITC_Dum","RDC_Dum","PTA_Dum","CJTS_Dum","JCTC_DumState","ITC_DumState","RDC_DumState","PTA_DumState","CJTS_DumState"
"1","AL",1990,0,0,0,0,19,0,0,0,0,1
"2","AZ",1990,0,0,0,0,0,0,0,0,0,0
"3","CA",1990,0,0,43,0,31,0,0,1,0,1
"4","CO",1990,0,0,0,0,31,0,0,0,0,1
"5","CT",1990,0,0,0,19,0,0,0,0,1,0
"6","DC",1990,0,0,0,0,0,0,0,0,0,0
"7","FL",1990,0,0,0,0,0,0,0,0,0,0
"8","GA",1990,0,0,0,0,31,0,0,0,0,1
"9","IA",1990,31,0,43,0,31,1,0,1,0,1
"10","IL",1990,0,32,0,19,0,0,1,0,1,0
"11","IN",1990,0,0,43,19,0,0,0,1,1,0
"12","KY",1990,0,0,0,19,31,0,0,0,1,1
"13","LA",1990,0,0,0,19,0,0,0,0,1,0
"14","MA",1990,0,19,0,0,0,0,1,0,0,0
"15","MD",1990,0,0,0,0,0,0,0,0,0,0
"16","MI",1990,0,0,0,31,0,0,0,0,1,0
"17","MN",1990,0,0,30,0,45,0,0,1,0,1
"18","MO",1990,0,0,0,0,0,0,0,0,0,0
"19","NC",1990,0,0,0,0,19,0,0,0,0,1
"20","NE",1990,30,31,0,0,31,1,1,0,0,1
"21","NJ",1990,0,0,0,0,0,0,0,0,0,0
"22","NM",1990,0,0,0,31,31,0,0,0,1,1
"23","NV",1990,0,0,0,0,45,0,0,0,0,1
"24","NY",1990,0,19,0,31,0,0,1,0,1,0
"25","OH",1990,0,0,0,45,0,0,0,0,1,0
"26","OR",1990,0,0,43,0,0,0,0,1,0,0
"27","PA",1990,0,0,0,0,31,0,0,0,0,1
"28","SC",1990,0,0,0,19,31,0,0,0,1,1
"29","TN",1990,0,0,0,0,31,0,0,0,0,1
"30","TX",1990,0,0,0,45,0,0,0,0,1,0
"31","VA",1990,0,0,0,0,31,0,0,0,0,1
"32","WA",1990,0,0,0,0,45,0,0,0,0,1
"33","WI",1990,0,0,43,0,0,0,0,1,0,0
"34","AL",1991,0,0,0,0,19,0,0,0,0,1
"35","AZ",1991,0,0,0,0,0,0,0,0,0,0
"36","CA",1991,0,0,43,0,31,0,0,1,0,1
"37","CO",1991,0,0,0,0,31,0,0,0,0,1
"38","CT",1991,0,0,0,19,0,0,0,0,1,0
"39","DC",1991,0,0,0,0,0,0,0,0,0,0
"40","FL",1991,0,0,0,0,0,0,0,0,0,0
"41","GA",1991,0,0,0,0,31,0,0,0,0,1
"42","IA",1991,31,0,43,0,31,1,0,1,0,1
"43","IL",1991,0,32,43,19,0,0,1,1,1,0
"44","IN",1991,0,0,43,19,0,0,0,1,1,0
"45","KY",1991,0,0,0,19,31,0,0,0,1,1
"46","LA",1991,0,0,0,19,0,0,0,0,1,0
"47","MA",1991,0,19,43,0,0,0,1,1,0,0
"48","MD",1991,0,0,0,0,0,0,0,0,0,0
"49","MI",1991,0,0,0,31,0,0,0,0,1,0
"50","MN",1991,0,0,30,0,45,0,0,1,0,1
"51","MO",1991,0,0,0,0,0,0,0,0,0,0
"52","NC",1991,0,0,0,0,19,0,0,0,0,1
"53","NE",1991,30,31,0,0,31,1,1,0,0,1
"54","NJ",1991,0,0,0,0,0,0,0,0,0,0
"55","NM",1991,0,0,0,31,31,0,0,0,1,1
"56","NV",1991,0,0,0,0,45,0,0,0,0,1
"57","NY",1991,0,19,0,31,0,0,1,0,1,0
"58","OH",1991,0,0,0,45,0,0,0,0,1,0
"59","OR",1991,0,0,43,0,0,0,0,1,0,0
"60","PA",1991,0,0,0,0,31,0,0,0,0,1
"61","SC",1991,0,0,0,19,31,0,0,0,1,1
"62","TN",1991,0,0,0,0,31,0,0,0,0,1
"63","TX",1991,0,0,0,45,0,0,0,0,1,0
"64","VA",1991,0,0,0,0,31,0,0,0,0,1
"65","WA",1991,0,0,0,0,45,0,0,0,0,1
"66","WI",1991,0,0,43,0,0,0,0,1,0,0
"67","AL",1992,0,0,0,31,19,0,0,0,1,1
"68","AZ",1992,0,0,43,0,0,0,0,1,0,0
"69","CA",1992,0,0,43,0,31,0,0,1,0,1
"70","CO",1992,0,0,0,0,31,0,0,0,0,1
