"","x"
"1","Construction"
"2","Food, beverage, and tobacco Manufacturing"
"3","Textile Mills and textile product mills"
"4","Apparel, Leather and allied product Manufacturing"
"5","Wood Product Manufacturing"
"6","Paper Manufacturing"
"7","Printing and related support activities"
"8","Petroleum and coal products manufacturing"
"9","Chemical Manufacturing"
"10","Plastics and Rubber products manufacturing"
"11","Nonmetallic mineral product manufacturing"
"12","Primary Metal Manufacturing"
"13","Fabricated Metal Product Manufacturing"
"14","Machinery manufacturing"
"15","Computer and electronic product manufacturing"
"16","Electrical equipment, appliance, and component manufacturing"
"17","Motor vehicles, bodies and trailers, and parts manufacturing"
"18","Other Transportation Equipment"
"19","Furniture and related product manufacturing"
"20","Miscellaneous manufacturing"
"21","Wholesale Trade"
"22","Retail Trade"
"23","warehousing and storeage "
"24","Publishing industries (includes software)"
"25","Broadcasting (except Internet) and telecommunications"
"26","Information"
"27","Credit Intermediation"
"28","Securities, commodity contracts, and other financial investments and related activities"
"29","Insurance carriers and related activities"
"30","Rental and leasing services and lessors of nonfinancial intangible assets"
"31","Legal Services"
"32","Computer systems design and related services"
"33","Miscellaneous professional, scientific, and technical services"
"34","Management of companies and enterprises"
"35","Administrative and support services"
"36","Waste Management and remediation services"
"37","Educational Services"
"38","Offices of health practioners and outpatient care centers"
"39","Miscellaneous health care and social assistance"
"40","Hospitals, nursing, and residential care facilities"
"41","Performing arts, spectator sports, museums and entertainment"
"42","Amusement, gambling, and recreation industries"
"43","Accommodation"
"44","Food services and drinking places"
"45","Other services "
