Fips,Area,IndCode,Industry,2014
0,United States,1,All industry total,17312308
0,United States,2,  Private industries,15149621
0,United States,3,"    Agriculture, forestry, fishing, and hunting",204404
0,United States,4,      Farms,167709
0,United States,5,"      Forestry, fishing, and related activities",36695
0,United States,6,"    Mining, quarrying, and oil and gas extraction",480588
0,United States,7,      Oil and gas extraction,338123
0,United States,8,      Mining (except oil and gas),69883
0,United States,9,      Support activities for mining,72583
0,United States,10,    Utilities,280579
0,United States,11,    Construction,674429
0,United States,12,    Manufacturing,2111498
0,United States,13,      Durable goods manufacturing,1127470
0,United States,14,        Wood product manufacturing,27565
0,United States,15,        Nonmetallic mineral product manufacturing,46395
0,United States,16,        Primary metal manufacturing,59127
0,United States,17,        Fabricated metal product manufacturing,146104
0,United States,18,        Machinery manufacturing,150838
0,United States,19,        Computer and electronic product manufacturing,268193
0,United States,20,"        Electrical equipment, appliance, and component manufacturing",52579
0,United States,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",144950
0,United States,22,        Other transportation equipment manufacturing,125223
0,United States,23,        Furniture and related product manufacturing,26717
0,United States,24,        Miscellaneous manufacturing,79779
0,United States,25,      Nondurable goods manufacturing,984028
0,United States,26,        Food and beverage and tobacco products manufacturing,249952
0,United States,27,        Textile mills and textile product mills,18004
0,United States,28,"        Apparel, leather, and allied product manufacturing",10079
0,United States,29,        Paper manufacturing,56814
0,United States,30,        Printing and related support activities,38404
0,United States,31,        Petroleum and coal products manufacturing,173087
0,United States,32,        Chemical manufacturing,368727
0,United States,33,        Plastics and rubber products manufacturing,68961
0,United States,34,    Wholesale trade,1054512
0,United States,35,    Retail trade,1002766
0,United States,36,    Transportation and warehousing,514043
0,United States,37,      Air transportation,86771
0,United States,38,      Rail transportation,46788
0,United States,39,      Water transportation,18544
0,United States,40,      Truck transportation,140495
0,United States,41,      Transit and ground passenger transportation,34511
0,United States,42,      Pipeline transportation,25926
0,United States,43,      Other transportation and support activities,110366
0,United States,44,      Warehousing and storage,50641
0,United States,45,    Information,791623
0,United States,46,      Publishing industries (except Internet),198170
0,United States,47,      Motion picture and sound recording industries,109110
0,United States,48,      Broadcasting (except Internet) and telecommunications,391337
0,United States,49,"      Data processing, hosting, and other information services",93006
0,United States,50,"    Finance, insurance, real estate, rental, and leasing",3505406
0,United States,51,      Finance and insurance,1251991
0,United States,52,"        Monetary Authorities- central bank, credit intermediation, and related services",495777
0,United States,53,"        Securities, commodity contracts, and other financial investments and related activities",225132
0,United States,54,        Insurance carriers and related activities,473131
0,United States,55,"        Funds, trusts, and other financial vehicles",57952
0,United States,56,      Real estate and rental and leasing,2253415
0,United States,57,        Real estate,2059663
0,United States,58,        Rental and leasing services and lessors of nonfinancial intangible assets,193752
0,United States,59,    Professional and business services,2065978
0,United States,60,"      Professional, scientific, and technical services",1206937
0,United States,61,        Legal services,228027
0,United States,62,        Computer systems design and related services,246028
0,United States,63,"        Miscellaneous professional, scientific, and technical services",732882
0,United States,64,      Management of companies and enterprises,337003
0,United States,65,      Administrative and support and waste management and remediation services,522038
0,United States,66,        Administrative and support services,478962
0,United States,67,        Waste management and remediation services,43076
0,United States,68,"    Educational services, health care, and social assistance",1414212
0,United States,69,      Educational services,191552
0,United States,70,      Health care and social assistance,1222659
0,United States,71,        Ambulatory health care services,588426
0,United States,72,"        Hospitals, nursing, and residential care facilities",524794
0,United States,73,        Social assistance,109439
0,United States,74,"    Arts, entertainment, recreation, accommodation, and food services",666371
0,United States,75,"      Arts, entertainment, and recreation",175095
0,United States,76,"        Performing arts, spectator sports, museums, and related activities",95634
