Fips,Area,IndCode,Industry,1994
0,United States,1,All industry total,6912844
0,United States,2,  Private industries,6011084
0,United States,3,"      Agriculture, forestry, and fishing",116215
0,United States,4,          Farms,83899
0,United States,5,"          Agricultural services, forestry, and fishing",32317
0,United States,6,      Mining,96354
0,United States,7,          Metal mining,6889
0,United States,8,          Coal mining,12751
0,United States,9,          Oil and gas extraction,67434
0,United States,10,"          Nonmetallic minerals, except fuels",9281
0,United States,11,      Construction,278814
0,United States,12,      Manufacturing,1204209
0,United States,13,          Durable goods manufacturing,692529
0,United States,14,              Lumber and wood products,38482
0,United States,15,              Furniture and fixtures,18662
0,United States,16,"              Stone, clay, and glass products",30747
0,United States,17,              Primary metal industries,46558
0,United States,18,              Fabricated metal products,82162
0,United States,19,              Industrial machinery and equipment,124276
0,United States,20,              Electronic and other electric equipment,137726
0,United States,21,              Motor vehicles and equipment,94288
0,United States,22,              Other transportation equipment,50396
0,United States,23,              Instruments and related products,46249
0,United States,24,              Miscellaneous manufacturing industries,22981
0,United States,25,          Nondurable goods manufacturing,511680
0,United States,26,              Food and kindred products,107162
0,United States,27,              Tobacco products,12857
0,United States,28,              Textile mill products,25359
0,United States,29,              Apparel and other textile products,28499
0,United States,30,              Paper and allied products,49778
0,United States,31,              Printing and publishing,80374
0,United States,32,              Chemicals and allied products,132206
0,United States,33,              Petroleum and coal products,25694
0,United States,34,              Rubber and miscellaneous plastics products,44804
0,United States,35,              Leather and leather products,4946
0,United States,36,      Transportation and public utilities,598843
0,United States,37,          Transportation,224162
0,United States,38,              Railroad transportation,22589
0,United States,39,              Local and interurban passenger transit,12417
0,United States,40,              Trucking and warehousing,88636
0,United States,41,              Water transportation,11820
0,United States,42,              Transportation by air,62251
0,United States,43,"              Pipelines, except natural gas",5554
0,United States,44,              Transportation services,20895
0,United States,45,          Communications,187887
0,United States,46,"          Electric, gas, and sanitary services",186794
0,United States,47,      Wholesale trade,479442
0,United States,48,      Retail trade,620121
0,United States,49,"      Finance, insurance, and real estate",1254547
0,United States,50,          Depository institutions,186798
0,United States,51,          Nondepository institutions,27494
0,United States,52,          Security and commodity brokers,58016
0,United States,53,          Insurance carriers,131260
0,United States,54,"          Insurance agents, brokers, and services",43691
0,United States,55,          Real estate,788727
0,United States,56,          Holding and other investment offices,18561
0,United States,57,      Services,1362538
0,United States,58,          Hotels and other lodging places,56328
0,United States,59,          Personal services,47511
0,United States,60,          Business services,271000
0,United States,61,"          Automotive repair, services, and parking",60343
0,United States,62,          Miscellaneous repair services,21925
0,United States,63,          Motion pictures,19729
0,United States,64,          Amusement and recreation services,50844
0,United States,65,          Health services,409902
0,United States,66,          Legal services,94027
0,United States,67,          Educational services,51422
0,United States,68,          Social services,40928
0,United States,69,          Membership organizations,45560
0,United States,70,          Other services,181784
0,United States,71,          Private households,11236
0,United States,72,  Government and government enterprises,901760
0,United States,73,      Federal civilian,188145
0,United States,74,      Military,85562
0,United States,75,      State and local,628053
0,United States,76,Addenda:,
0,United States,76,  Electronic equipment and instruments,183975
