Sic Hierarchy,SIC,SIC Code,,,,
All industry total,All industry total,,,,,
  Private industries,Private industries,,,,,
"      Agriculture, forestry, and fishing","Agriculture, forestry, and fishing",01-09,,,,
          Farms,Farms,191,191,"General Farms, Primarily Crop",111998,All Other Miscellaneous Crop Farming
,,,191,"General Farms, Primarily Crop",112519,Other Aquaculture
"          Agricultural services, forestry, and fishing","Agricultural services, forestry, and fishing",109,,,,
      Mining,Mining,10-14,,,,
          Metal mining,Metal mining,1081,1081,Metal Mining Services,213114,Support Activities for Metal Mining
,,,1081,Metal Mining Services,238910,Site Preparation Contractors
,,,1081,Metal Mining Services,541360,Geophysical Surveying and Mapping Services
          Coal mining,Coal mining,1241,1241,Coal Mining Services,213113,Support Activities for Coal Mining
,,,1241,Coal Mining Services,238910,Site Preparation Contractors
          Oil and gas extraction,Oil and gas extraction,13,1311,Crude Petroleum and Natural Gas,211120,Crude Petroleum Extraction
,,,1321,Natural Gas Liquids,211130,Natural Gas Extraction
,,,1381,Drilling Oil and Gas Wells,213111,Drilling Oil and Gas Wells
,,,1382,Oil and Gas Exploration Services,213112,Support Activities for Oil and Gas Operations
,,,1382,Oil and Gas Exploration Services,541360,Geophysical Surveying and Mapping Services
,,,1389,"Oil and Gas Field Services, Nec",213112,Support Activities for Oil and Gas Operations
,,,1389,"Oil and Gas Field Services, Nec",237120,Oil and Gas Pipeline and Related Structures Construction
,,,1389,"Oil and Gas Field Services, Nec",238910,Site Preparation Contractors
"          Nonmetallic minerals, except fuels","Nonmetallic minerals, except fuels",1481,1481,Nonmetallic Mineral Services,213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining
,,,1481,Nonmetallic Mineral Services,238910,Site Preparation Contractors
,,,1481,Nonmetallic Mineral Services,541360,Geophysical Surveying and Mapping Services
      Construction,Construction,15-17,,,,
      Manufacturing,Manufacturing,20-39,,,,
          Durable goods manufacturing,Durable goods manufacturing,32,3211,Flat Glass,327211,Flat Glass Manufacturing
,,,3221,Glass Containers,327213,Glass Container Manufacturing
,,,3229,"Pressed and Blown Glass, Nec",327212,Other Pressed and Blown Glass and Glassware Manufacturing
,,,3231,Products of Purchased Glass,327215,Glass Product Manufacturing Made of Purchased Glass
,,,3241,"Cement, Hydraulic",327310,Cement Manufacturing
,,,3251,Brick and Structural Clay Tile,327120,Clay Building Material and Refractories Manufacturing
,,,3251,Brick and Structural Clay Tile,327331,Concrete Block and Brick Manufacturing
,,,3253,Ceramic Wall and Floor Tile,327120,Clay Building Material and Refractories Manufacturing
,,,3255,Clay Refractories,327120,Clay Building Material and Refractories Manufacturing
,,,3259,"Structural Clay Products, Nec",327120,Clay Building Material and Refractories Manufacturing
,,,3261,Vitreous Plumbing Fixtures,327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing"
