SAGDP4N Compensation of employees 1/,,,,,,,,
(Thousands of dollars) ,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,
State or DC,,,,,,,,
GeoFips,GeoName,LineCode,Description,2003,2004,2005,2006,2007
1000,Alabama,1,All industry total,77084928,81588907,86356775,91147948,95286432
1000,Alabama,2,  Private industries,59250517,62852770,66687801,70675051,73420742
1000,Alabama,3,"    Agriculture, forestry, fishing, and hunting",421314,509141,467391,533621,566114
1000,Alabama,4,      Farms,156945,207767,182890,191062,222971
1000,Alabama,5,"      Forestry, fishing, and related activities",264369,301374,284500,342559,343143
1000,Alabama,6,"    Mining, quarrying, and oil and gas extraction",469279,484980,559938,588561,602245
1000,Alabama,7,      Oil and gas extraction,57776,53061,58085,69259,79722
1000,Alabama,8,      Mining (except oil and gas),375600,390546,452799,461107,461033
1000,Alabama,9,      Support activities for mining,35903,41374,49055,58195,61490
1000,Alabama,10,    Utilities,1325521,1384840,1343545,1432942,1505160
1000,Alabama,11,    Construction,4018475,4243029,4584576,4950443,5372189
1000,Alabama,12,    Manufacturing,13826581,14487163,15248469,16006444,16226767
1000,Alabama,13,      Durable goods manufacturing,8289165,8929773,9705624,10504071,10730396
1000,Alabama,14,        Wood product manufacturing,759294,799232,843784,868239,836977
1000,Alabama,15,        Nonmetallic mineral product manufacturing,416444,426392,451871,496167,549799
1000,Alabama,16,        Primary metal manufacturing,1074897,1172691,1239343,1324138,1339266
1000,Alabama,17,        Fabricated metal product manufacturing,1174525,1219613,1306750,1379990,1454658
1000,Alabama,18,        Machinery manufacturing,566640,608078,647598,704663,709543
1000,Alabama,19,        Computer and electronic product manufacturing,883642,891055,889280,964284,957951
1000,Alabama,20,"        Electrical equipment, appliance, and component manufacturing",300981,321296,342183,337144,326834
1000,Alabama,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",1409018,1635243,2047516,2315968,2280279
1000,Alabama,22,        Other transportation equipment manufacturing,958142,1054175,1077941,1222845,1387704
1000,Alabama,23,        Furniture and related product manufacturing,446425,491046,530258,541063,528902
1000,Alabama,24,        Miscellaneous manufacturing,299156,310953,329102,349569,358485
1000,Alabama,25,      Nondurable goods manufacturing,5537417,5557390,5542845,5502373,5496371
1000,Alabama,26,        Food and beverage and tobacco products manufacturing,1255960,1317641,1312855,1333064,1374967
1000,Alabama,27,        Textile mills and textile product mills,860648,837516,812566,699964,607544
1000,Alabama,28,"        Apparel, leather, and allied product manufacturing",428861,422911,387448,377835,357476
1000,Alabama,29,        Paper manufacturing,1080167,1101090,1114174,1118643,1140981
1000,Alabama,30,        Printing and related support activities,254767,258027,245306,247407,238291
1000,Alabama,31,        Petroleum and coal products manufacturing,171620,173688,180200,211142,187301
1000,Alabama,32,        Chemical manufacturing,796412,795222,792745,806377,835671
1000,Alabama,33,        Plastics and rubber products manufacturing,688981,651294,697551,707940,754139
1000,Alabama,34,    Wholesale trade,3847138,4140185,4446742,4743118,4927778
1000,Alabama,35,    Retail trade,5895240,6137095,6479308,6654520,6905161
1000,Alabama,36,    Transportation and warehousing,2248604,2409122,2607116,2745746,2869380
1000,Alabama,37,      Air transportation,42800,44300,48134,50472,54240
1000,Alabama,38,      Rail transportation,(D),(D),(D),(D),322070
1000,Alabama,39,      Water transportation,31333,34220,32822,(D),74786
1000,Alabama,40,      Truck transportation,1161535,(D),1319400,1408042,1404683
1000,Alabama,41,      Transit and ground passenger transportation,40247,44317,45809,49195,52471
1000,Alabama,42,      Pipeline transportation,42261,44817,51690,60238,59942
1000,Alabama,43,      Other transportation and support activities,(D),(D),(D),(D),581497
1000,Alabama,44,      Warehousing and storage,220460,248704,294647,283050,319692
1000,Alabama,45,    Information,1740783,1804682,1817041,1792273,1695645
1000,Alabama,46,      Publishing industries (except Internet),367068,389381,398448,400631,429199
1000,Alabama,47,      Motion picture and sound recording industries,34254,34388,34843,36166,40226
1000,Alabama,48,      Broadcasting (except Internet) and telecommunications,1226168,1273547,1272666,1258470,1132222
1000,Alabama,49,"      Data processing, hosting, and other information services",113293,107366,111085,97006,93998
1000,Alabama,50,"    Finance, insurance, real estate, rental, and leasing",4772080,5082640,5489678,5927607,6069800
1000,Alabama,51,      Finance and insurance,3965816,4214622,4594664,5000166,5063444
1000,Alabama,52,"        Monetary Authorities- central bank, credit intermediation, and related services",(D),(D),(D),(D),(D)
1000,Alabama,53,"        Securities, commodity contracts, and other financial investments and related activities",366057,393840,428989,459498,514232
1000,Alabama,54,        Insurance carriers and related activities,1490490,1579034,1800997,2056385,1935643
1000,Alabama,55,"        Funds, trusts, and other financial vehicles",(D),(D),(D),(D),(D)
1000,Alabama,56,      Real estate and rental and leasing,806264,868017,895015,927441,1006356
1000,Alabama,57,        Real estate,479596,524095,(D),573341,633661
1000,Alabama,58,        Rental and leasing services and lessors of nonfinancial intangible assets,326668,343923,(D),354101,372696
1000,Alabama,59,    Professional and business services,8231599,8845835,9515618,10325992,10962342
1000,Alabama,60,"      Professional, scientific, and technical services",5178921,5472769,5775317,6329247,6682103
1000,Alabama,61,        Legal services,979256,1004351,1004101,1028232,1072696
1000,Alabama,62,        Computer systems design and related services,1102362,1163474,1301005,1362508,1533654
1000,Alabama,63,"        Miscellaneous professional, scientific, and technical services",3097303,3304944,3470210,3938507,4075752
1000,Alabama,64,      Management of companies and enterprises,785391,922458,985820,1113311,1259954
1000,Alabama,65,      Administrative and support and waste management and remediation services,2267286,2450608,2754482,2883434,3020285
1000,Alabama,66,        Administrative and support services,2124212,2302451,2587897,2710994,2782663
1000,Alabama,67,        Waste management and remediation services,143074,148157,166584,172440,237622
1000,Alabama,68,"    Educational services, health care, and social assistance",7436442,8048511,8628853,9254154,9688388
1000,Alabama,69,      Educational services,550855,620991,629556,670511,737659
1000,Alabama,70,      Health care and social assistance,6885587,7427520,7999297,8583643,8950729
1000,Alabama,71,        Ambulatory health care services,3666391,3964962,4390469,4715705,4934655
1000,Alabama,72,        Hospitals,1861147,2029282,2105665,2267677,2360077
1000,Alabama,73,        Nursing and residential care facilities,883448,960213,1005800,1077472,1130494
1000,Alabama,74,        Social assistance,474600,473064,497363,522788,525504
1000,Alabama,75,"    Arts, entertainment, recreation, accommodation, and food services",2387936,2523959,2652075,2780049,2937859
1000,Alabama,76,"      Arts, entertainment, and recreation",316660,340547,358763,384237,400428
1000,Alabama,77,"        Performing arts, spectator sports, museums, and related activities",89774,103912,112470,125460,126302
1000,Alabama,78,"        Amusement, gambling, and recreation industries",226886,236635,246293,258777,274126
1000,Alabama,79,      Accommodation and food services,2071277,2183413,2293312,2395812,2537431
1000,Alabama,80,        Accommodation,266444,286003,305652,311491,326347
1000,Alabama,81,        Food services and drinking places,1804833,1897410,1987660,2084320,2211084
1000,Alabama,82,    Other services (except government and government enterprises),2629526,2751589,2847450,2939580,3091914
1000,Alabama,83,  Government and government enterprises,17834411,18736137,19668974,20472897,21865691
1000,Alabama,84,    Federal civilian,3796218,4006786,4290961,4476977,4760523
1000,Alabama,85,    Military,1567681,1730894,1836016,1812107,1858022
1000,Alabama,86,    State and local,12470512,12998457,13541997,14183813,15247146
1000,Alabama,,Addenda:,,,,,
1000,Alabama,87,Natural resources and mining,890593,994121,1027329,1122182,1168359
1000,Alabama,88,Trade,9742378,10277280,10926049,11397638,11832939
1000,Alabama,89,Transportation and utilities,3574124,3793962,3950661,4178688,4374540
1000,Alabama,90,Private goods-producing industries 2/,18735650,19724313,20860374,22079069,22767315
1000,Alabama,91,Private services-providing industries 3/,40514867,43128458,45827427,48595982,50653426
2000,Alaska,1,All industry total,16521980,17454296,18584746,19600295,20790156
2000,Alaska,2,  Private industries,10435898,11094940,11841575,12529584,13425933
2000,Alaska,3,"    Agriculture, forestry, fishing, and hunting",45153,43191,43740,41558,37136
2000,Alaska,4,      Farms,6051,6362,6097,6268,6423
2000,Alaska,5,"      Forestry, fishing, and related activities",39102,36830,37643,35290,30713
2000,Alaska,6,"    Mining, quarrying, and oil and gas extraction",1016571,1086133,1201941,1474085,1731561
2000,Alaska,7,      Oil and gas extraction,401004,432959,464801,516404,609375
2000,Alaska,8,      Mining (except oil and gas),121600,120479,141776,179076,205329
2000,Alaska,9,      Support activities for mining,493967,532695,595365,778605,916857
2000,Alaska,10,    Utilities,153629,159769,165750,173069,179790
2000,Alaska,11,    Construction,1158251,1221993,1341626,1348395,1402508
2000,Alaska,12,    Manufacturing,548787,576397,633447,663105,696508
2000,Alaska,13,      Durable goods manufacturing,91927,98313,111118,115902,132401
2000,Alaska,14,        Wood product manufacturing,10670,13009,13972,(D),21312
2000,Alaska,15,        Nonmetallic mineral product manufacturing,27685,26042,28396,(D),25134
2000,Alaska,16,        Primary metal manufacturing,(D),(D),(D),(D),(D)
2000,Alaska,17,        Fabricated metal product manufacturing,20662,22556,24776,26404,(D)
2000,Alaska,18,        Machinery manufacturing,3254,2363,3100,3606,4010
2000,Alaska,19,        Computer and electronic product manufacturing,(D),(D),6082,7083,8368
2000,Alaska,20,"        Electrical equipment, appliance, and component manufacturing",803,1376,1530,2405,2742
2000,Alaska,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",(D),882,(D),(D),(D)
2000,Alaska,22,        Other transportation equipment manufacturing,(D),12192,15092,13961,21798
2000,Alaska,23,        Furniture and related product manufacturing,4463,5316,6281,6896,6706
2000,Alaska,24,        Miscellaneous manufacturing,8643,9292,10060,10365,11067
2000,Alaska,25,      Nondurable goods manufacturing,456860,478084,522329,547203,564107
2000,Alaska,26,        Food and beverage and tobacco products manufacturing,353906,375443,413413,428152,449940
2000,Alaska,27,        Textile mills and textile product mills,1755,(D),(D),(D),(D)
2000,Alaska,28,"        Apparel, leather, and allied product manufacturing",(D),(D),(D),404,(D)
2000,Alaska,29,        Paper manufacturing,(D),(D),0,(D),(D)
2000,Alaska,30,        Printing and related support activities,17786,17037,16994,17543,17731
2000,Alaska,31,        Petroleum and coal products manufacturing,47559,50102,53659,65817,62190
2000,Alaska,32,        Chemical manufacturing,(D),(D),29094,25128,23225
2000,Alaska,33,        Plastics and rubber products manufacturing,(D),(D),(D),(D),(D)
2000,Alaska,34,    Wholesale trade,325302,347912,373066,387423,408736
