SAGDP4N Compensation of employees 1/,,,,,
(Thousands of dollars) ,,,,,
Bureau of Economic Analysis ,,,,,
State or DC,,,,,
GeoFips,GeoName,LineCode,Description,1997,1998
1000,Alabama,1,All industry total,61084099,64169230
1000,Alabama,2,  Private industries,47791788,50296538
1000,Alabama,3,"    Agriculture, forestry, fishing, and hunting",403452,420242
1000,Alabama,4,      Farms,139948,147425
1000,Alabama,5,"      Forestry, fishing, and related activities",263504,272817
1000,Alabama,6,"    Mining, quarrying, and oil and gas extraction",581108,588042
1000,Alabama,7,      Oil and gas extraction,38889,39171
1000,Alabama,8,      Mining (except oil and gas),477808,471081
1000,Alabama,9,      Support activities for mining,64412,77789
1000,Alabama,10,    Utilities,948981,986057
1000,Alabama,11,    Construction,3172946,3366794
1000,Alabama,12,    Manufacturing,13033482,13843444
1000,Alabama,13,      Durable goods manufacturing,7052673,7742945
1000,Alabama,14,        Wood product manufacturing,832043,872217
1000,Alabama,15,        Nonmetallic mineral product manufacturing,373642,385329
1000,Alabama,16,        Primary metal manufacturing,1205593,1248443
1000,Alabama,17,        Fabricated metal product manufacturing,1033947,1092382
1000,Alabama,18,        Machinery manufacturing,604805,607240
1000,Alabama,19,        Computer and electronic product manufacturing,806895,914842
1000,Alabama,20,"        Electrical equipment, appliance, and component manufacturing",318099,318588
1000,Alabama,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",679141,978858
1000,Alabama,22,        Other transportation equipment manufacturing,524811,616199
1000,Alabama,23,        Furniture and related product manufacturing,394627,425207
1000,Alabama,24,        Miscellaneous manufacturing,279070,283640
1000,Alabama,25,      Nondurable goods manufacturing,5980809,6100499
1000,Alabama,26,        Food and beverage and tobacco products manufacturing,984690,1053506
1000,Alabama,27,        Textile mills and textile product mills,990326,1021225
1000,Alabama,28,"        Apparel, leather, and allied product manufacturing",860921,828079
1000,Alabama,29,        Paper manufacturing,1216847,1214529
1000,Alabama,30,        Printing and related support activities,303157,309655
1000,Alabama,31,        Petroleum and coal products manufacturing,135057,124778
1000,Alabama,32,        Chemical manufacturing,787062,822270
1000,Alabama,33,        Plastics and rubber products manufacturing,702747,726457
1000,Alabama,34,    Wholesale trade,3369338,3420727
1000,Alabama,35,    Retail trade,4726687,4990874
1000,Alabama,36,    Transportation and warehousing,1936997,2066429
1000,Alabama,37,      Air transportation,21954,30243
1000,Alabama,38,      Rail transportation,249864,268501
1000,Alabama,39,      Water transportation,20937,20459
1000,Alabama,40,      Truck transportation,1019989,1077598
1000,Alabama,41,      Transit and ground passenger transportation,22004,35164
1000,Alabama,42,      Pipeline transportation,33516,39448
1000,Alabama,43,      Other transportation and support activities,383231,397111
1000,Alabama,44,      Warehousing and storage,185502,197905
1000,Alabama,45,    Information,1439274,1474498
1000,Alabama,46,      Publishing industries (except Internet),255687,276905
1000,Alabama,47,      Motion picture and sound recording industries,22253,24193
1000,Alabama,48,      Broadcasting (except Internet) and telecommunications,1069956,1064540
1000,Alabama,49,"      Data processing, hosting, and other information services",91378,108860
1000,Alabama,50,"    Finance, insurance, real estate, rental, and leasing",3544915,3565425
1000,Alabama,51,      Finance and insurance,2989716,2978856
1000,Alabama,52,"        Monetary Authorities- central bank, credit intermediation, and related services",1584169,1458886
1000,Alabama,53,"        Securities, commodity contracts, and other financial investments and related activities",278961,324516
1000,Alabama,54,        Insurance carriers and related activities,1119676,1188311
1000,Alabama,55,"        Funds, trusts, and other financial vehicles",6909,7142
1000,Alabama,56,      Real estate and rental and leasing,555199,586570
1000,Alabama,57,        Real estate,357176,361420
1000,Alabama,58,        Rental and leasing services and lessors of nonfinancial intangible assets,198023,225149
1000,Alabama,59,    Professional and business services,5374448,5849210
1000,Alabama,60,"      Professional, scientific, and technical services",3287371,3714233
1000,Alabama,61,        Legal services,656410,697998
1000,Alabama,62,        Computer systems design and related services,595786,751655
1000,Alabama,63,"        Miscellaneous professional, scientific, and technical services",2035175,2264580
1000,Alabama,64,      Management of companies and enterprises,544607,465586
1000,Alabama,65,      Administrative and support and waste management and remediation services,1542471,1669391
1000,Alabama,66,        Administrative and support services,1417745,1537691
1000,Alabama,67,        Waste management and remediation services,124726,131700
1000,Alabama,68,"    Educational services, health care, and social assistance",5576838,5732600
1000,Alabama,69,      Educational services,369846,400169
1000,Alabama,70,      Health care and social assistance,5206992,5332431
1000,Alabama,71,        Ambulatory health care services,2841417,2917152
1000,Alabama,72,        Hospitals,1408830,1414534
1000,Alabama,73,        Nursing and residential care facilities,606365,640041
1000,Alabama,74,        Social assistance,350380,360703
1000,Alabama,75,"    Arts, entertainment, recreation, accommodation, and food services",1687957,1865062
1000,Alabama,76,"      Arts, entertainment, and recreation",221250,246916
1000,Alabama,77,"        Performing arts, spectator sports, museums, and related activities",65201,68628
1000,Alabama,78,"        Amusement, gambling, and recreation industries",156049,178287
1000,Alabama,79,      Accommodation and food services,1466706,1618146
1000,Alabama,80,        Accommodation,212354,235381
1000,Alabama,81,        Food services and drinking places,1254352,1382766
1000,Alabama,82,    Other services (except government and government enterprises),1995365,2127135
1000,Alabama,83,  Government and government enterprises,13292311,13872692
1000,Alabama,84,    Federal civilian,3016609,3121004
1000,Alabama,85,    Military,1076081,1068436
1000,Alabama,86,    State and local,9199621,9683252
1000,Alabama,,Addenda:,,
1000,Alabama,87,Natural resources and mining,984560,1008283
1000,Alabama,88,Trade,8096024,8411601
1000,Alabama,89,Transportation and utilities,2885978,3052486
1000,Alabama,90,Private goods-producing industries 2/,17190989,18218521
1000,Alabama,91,Private services-providing industries 3/,30600800,32078017
2000,Alaska,1,All industry total,12347403,12889877
2000,Alaska,2,  Private industries,7745779,8233385
2000,Alaska,3,"    Agriculture, forestry, fishing, and hunting",101384,70831
2000,Alaska,4,      Farms,5712,7519
2000,Alaska,5,"      Forestry, fishing, and related activities",95672,63311
2000,Alaska,6,"    Mining, quarrying, and oil and gas extraction",989119,1077615
2000,Alaska,7,      Oil and gas extraction,428310,433129
2000,Alaska,8,      Mining (except oil and gas),113186,121770
2000,Alaska,9,      Support activities for mining,447622,522717
2000,Alaska,10,    Utilities,101212,109304
2000,Alaska,11,    Construction,771775,792652
2000,Alaska,12,    Manufacturing,501536,522346
2000,Alaska,13,      Durable goods manufacturing,79652,86390
2000,Alaska,14,        Wood product manufacturing,18739,25478
2000,Alaska,15,        Nonmetallic mineral product manufacturing,16705,17772
2000,Alaska,16,        Primary metal manufacturing,(T),(T)
2000,Alaska,17,        Fabricated metal product manufacturing,17375,17418
2000,Alaska,18,        Machinery manufacturing,(T),(T)
2000,Alaska,19,        Computer and electronic product manufacturing,(T),(T)
2000,Alaska,20,"        Electrical equipment, appliance, and component manufacturing",(T),(T)
2000,Alaska,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",(T),(T)
2000,Alaska,22,        Other transportation equipment manufacturing,(T),(T)
2000,Alaska,23,        Furniture and related product manufacturing,(T),(T)
2000,Alaska,24,        Miscellaneous manufacturing,(T),(T)
2000,Alaska,25,      Nondurable goods manufacturing,421883,435957
2000,Alaska,26,        Food and beverage and tobacco products manufacturing,323044,329835
2000,Alaska,27,        Textile mills and textile product mills,(T),(T)
2000,Alaska,28,"        Apparel, leather, and allied product manufacturing",(T),(T)
2000,Alaska,29,        Paper manufacturing,20528,(T)
2000,Alaska,30,        Printing and related support activities,16520,16993
2000,Alaska,31,        Petroleum and coal products manufacturing,38445,57221
2000,Alaska,32,        Chemical manufacturing,16818,18337
2000,Alaska,33,        Plastics and rubber products manufacturing,(T),(T)
2000,Alaska,34,    Wholesale trade,270726,294364
2000,Alaska,35,    Retail trade,885199,921897
2000,Alaska,36,    Transportation and warehousing,860100,943244
2000,Alaska,37,      Air transportation,297880,342448
2000,Alaska,38,      Rail transportation,(T),(T)
2000,Alaska,39,      Water transportation,31029,32190
2000,Alaska,40,      Truck transportation,110795,119278
2000,Alaska,41,      Transit and ground passenger transportation,37806,39659
2000,Alaska,42,      Pipeline transportation,112744,108646
2000,Alaska,43,      Other transportation and support activities,256917,277345
2000,Alaska,44,      Warehousing and storage,12928,23679
2000,Alaska,45,    Information,285432,315499
2000,Alaska,46,      Publishing industries (except Internet),35482,44338
2000,Alaska,47,      Motion picture and sound recording industries,(T),8637
2000,Alaska,48,      Broadcasting (except Internet) and telecommunications,224663,246200
2000,Alaska,49,"      Data processing, hosting, and other information services",17235,16324
2000,Alaska,50,"    Finance, insurance, real estate, rental, and leasing",537499,571863
2000,Alaska,51,      Finance and insurance,429740,458696
2000,Alaska,52,"        Monetary Authorities- central bank, credit intermediation, and related services",164604,179111
2000,Alaska,53,"        Securities, commodity contracts, and other financial investments and related activities",171369,177328
2000,Alaska,54,        Insurance carriers and related activities,84272,92366
2000,Alaska,55,"        Funds, trusts, and other financial vehicles",9495,9890
2000,Alaska,56,      Real estate and rental and leasing,107759,113167
2000,Alaska,57,        Real estate,72971,77463
2000,Alaska,58,        Rental and leasing services and lessors of nonfinancial intangible assets,34788,35705
2000,Alaska,59,    Professional and business services,885082,944107
2000,Alaska,60,"      Professional, scientific, and technical services",427807,479218
2000,Alaska,61,        Legal services,80692,81588
2000,Alaska,62,        Computer systems design and related services,31002,36813
2000,Alaska,63,"        Miscellaneous professional, scientific, and technical services",316113,360818
2000,Alaska,64,      Management of companies and enterprises,132760,136801
2000,Alaska,65,      Administrative and support and waste management and remediation services,324515,328088
2000,Alaska,66,        Administrative and support services,283789,279241
2000,Alaska,67,        Waste management and remediation services,40727,48847
2000,Alaska,68,"    Educational services, health care, and social assistance",795676,847892
2000,Alaska,69,      Educational services,57722,62743
