SAGDP4N Compensation of employees 1/,,,,,,,
(Thousands of dollars) ,,,,,,,
Bureau of Economic Analysis ,,,,,,,
State or DC,,,,,,,
GeoFips,GeoName,LineCode,Description,1999,2000,2001,2002
1000,Alabama,1,All industry total,67225750,69764855,72038418,74152227
1000,Alabama,2,  Private industries,52720043,54659434,56206356,57419109
1000,Alabama,3,"    Agriculture, forestry, fishing, and hunting",414000,422637,(D),453158
1000,Alabama,4,      Farms,135902,147817,195088,188076
1000,Alabama,5,"      Forestry, fishing, and related activities",278098,274820,(D),265082
1000,Alabama,6,"    Mining, quarrying, and oil and gas extraction",551828,494214,485321,479838
1000,Alabama,7,      Oil and gas extraction,39945,44613,52042,46847
1000,Alabama,8,      Mining (except oil and gas),446280,404257,391227,394746
1000,Alabama,9,      Support activities for mining,65603,45343,42052,38245
1000,Alabama,10,    Utilities,1084068,1154326,1291712,1275580
1000,Alabama,11,    Construction,3644154,3850437,4021306,3927928
1000,Alabama,12,    Manufacturing,14278245,14316200,14132613,13868422
1000,Alabama,13,      Durable goods manufacturing,8156017,8188736,8111305,8243243
1000,Alabama,14,        Wood product manufacturing,916754,858722,814425,805183
1000,Alabama,15,        Nonmetallic mineral product manufacturing,397789,413958,421189,410833
1000,Alabama,16,        Primary metal manufacturing,1277172,1194947,1102732,1078285
1000,Alabama,17,        Fabricated metal product manufacturing,1143281,1151396,1134957,1160799
1000,Alabama,18,        Machinery manufacturing,626434,648238,610536,578511
1000,Alabama,19,        Computer and electronic product manufacturing,860221,891447,877674,838573
1000,Alabama,20,"        Electrical equipment, appliance, and component manufacturing",330240,322817,312495,307767
1000,Alabama,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",1157433,1165189,1119817,1271489
1000,Alabama,22,        Other transportation equipment manufacturing,691581,779481,980313,1044069
1000,Alabama,23,        Furniture and related product manufacturing,448469,462737,437863,438088
1000,Alabama,24,        Miscellaneous manufacturing,306644,299804,299303,309646
1000,Alabama,25,      Nondurable goods manufacturing,6122229,6127464,6021308,5625179
1000,Alabama,26,        Food and beverage and tobacco products manufacturing,1154704,1179217,1199625,1228542
1000,Alabama,27,        Textile mills and textile product mills,1041212,1033885,979032,905059
1000,Alabama,28,"        Apparel, leather, and allied product manufacturing",738481,685701,619831,463637
1000,Alabama,29,        Paper manufacturing,1208474,1186071,1139091,1056868
1000,Alabama,30,        Printing and related support activities,322300,329105,316551,306071
1000,Alabama,31,        Petroleum and coal products manufacturing,131192,135607,151541,147608
1000,Alabama,32,        Chemical manufacturing,814146,822058,874452,815084
1000,Alabama,33,        Plastics and rubber products manufacturing,711720,755821,741186,702310
1000,Alabama,34,    Wholesale trade,3511204,3724508,3768783,3777640
1000,Alabama,35,    Retail trade,5184930,5326792,5434634,5653213
1000,Alabama,36,    Transportation and warehousing,2176104,2242628,2216656,2200126
1000,Alabama,37,      Air transportation,40238,46810,45892,44093
1000,Alabama,38,      Rail transportation,272020,271619,(D),(D)
1000,Alabama,39,      Water transportation,19602,21825,21375,22493
1000,Alabama,40,      Truck transportation,1171504,1172922,1158364,1152944
1000,Alabama,41,      Transit and ground passenger transportation,42212,40943,35869,38975
1000,Alabama,42,      Pipeline transportation,44413,44368,48713,42007
1000,Alabama,43,      Other transportation and support activities,402632,433812,(D),(D)
1000,Alabama,44,      Warehousing and storage,183482,210329,210454,202627
1000,Alabama,45,    Information,1648527,1712549,1817251,1814886
