"SAEXP2 Per capita personal consumption expenditures (PCE) by state 1/"
"(Dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","2010","2011","2012","2013","2014","2015","2016","2017"
"00000","United States","1","Per capita personal consumption expenditures",32901,34114,35026,35762,37085,38275,39456,40878
"00000","United States","2","  Goods",10698,11258,11557,11770,12094,12188,12337,12740
"00000","United States","3","    Durable goods",3391,3509,3644,3761,3899,4070,4164,4318
"00000","United States","4","      Motor vehicles and parts",1114,1172,1263,1320,1388,1476,1496,1530
"00000","United States","5","      Furnishings and durable household equipment",779,792,809,834,861,897,932,968
"00000","United States","6","      Recreational goods and vehicles",965,980,993,1017,1040,1070,1105,1161
"00000","United States","7","      Other durable goods",533,565,579,590,610,626,632,659
"00000","United States","8","    Nondurable goods",7308,7749,7913,8009,8195,8118,8173,8422
"00000","United States","9","      Food and beverages purchased for off-premises consumption",2544,2630,2695,2732,2817,2869,2920,2965
"00000","United States","10","      Clothing and footwear",1024,1067,1099,1108,1124,1141,1153,1166
"00000","United States","11","      Gasoline and other energy goods",1089,1328,1344,1323,1266,963,850,943
"00000","United States","12","      Other nondurable goods",2652,2725,2775,2846,2989,3145,3250,3348
"00000","United States","13","  Services",22202,22856,23469,23992,24990,26087,27119,28139
"00000","United States","14","    Household consumption expenditures (for services)",21250,21855,22381,22877,23841,24943,25907,26900
"00000","United States","15","    Housing and utilities",6155,6276,6358,6499,6762,7033,7276,7515
"00000","United States","16","    Health care",5494,5638,5800,5876,6083,6424,6715,6973
"00000","United States","17","    Transportation services",986,1054,1086,1138,1203,1244,1292,1342
"00000","United States","18","    Recreation services",1305,1312,1372,1414,1462,1537,1596,1663
"00000","United States","19","    Food services and accommodations",2055,2148,2245,2316,2437,2594,2701,2755
"00000","United States","20","    Financial services and insurance",2439,2560,2612,2714,2852,3000,3058,3255
"00000","United States","21","    Other services",2816,2866,2908,2920,3041,3111,3270,3397
"00000","United States","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs)",952,1001,1088,1115,1149,1143,1213,1238
"00000","United States","23","  Gross output of nonprofit institutions",3648,3766,3938,4021,4150,4276,4490,4640
"00000","United States","24","  Less: Receipts from sales of goods and services by nonprofit institutions",2697,2765,2850,2906,3001,3133,3277,3402
"01000","Alabama","1","Per capita personal consumption expenditures",27339,28177,28827,29290,30123,30870,31572,32489
"01000","Alabama","2","  Goods",10426,10902,11148,11294,11544,11593,11645,11946
"01000","Alabama","3","    Durable goods",3010,3120,3237,3329,3430,3568,3667,3789
"01000","Alabama","4","      Motor vehicles and parts",1187,1255,1340,1388,1436,1520,1551,1579
"01000","Alabama","5","      Furnishings and durable household equipment",656,662,676,687,702,729,768,800
"01000","Alabama","6","      Recreational goods and vehicles",736,748,761,779,793,814,841,892
"01000","Alabama","7","      Other durable goods",430,454,460,476,499,505,507,519
"01000","Alabama","8","    Nondurable goods",7417,7782,7911,7965,8114,8025,7978,8157
"01000","Alabama","9","      Food and beverages purchased for off-premises consumption",2352,2425,2458,2457,2521,2564,2621,2633
"01000","Alabama","10","      Clothing and footwear",903,928,927,930,935,962,978,984
"01000","Alabama","11","      Gasoline and other energy goods",1164,1423,1441,1425,1334,1008,882,969
"01000","Alabama","12","      Other nondurable goods",2997,3006,3085,3153,3325,3492,3497,3570
"01000","Alabama","13","  Services",16913,17275,17679,17995,18579,19277,19927,20543
"01000","Alabama","14","    Household consumption expenditures (for services)",16473,16815,17192,17494,18036,18752,19348,19954
"01000","Alabama","15","    Housing and utilities",4395,4485,4578,4697,4916,5056,5290,5440
"01000","Alabama","16","    Health care",4730,4793,4989,5080,5220,5503,5655,5881
"01000","Alabama","17","    Transportation services",573,596,602,606,633,654,687,720
"01000","Alabama","18","    Recreation services",971,967,983,1002,1010,1055,1087,1115
"01000","Alabama","19","    Food services and accommodations",1602,1654,1717,1767,1837,1952,2035,2069
"01000","Alabama","20","    Financial services and insurance",2388,2458,2464,2466,2489,2591,2590,2668
"01000","Alabama","21","    Other services",1814,1862,1859,1877,1932,1941,2002,2060
"01000","Alabama","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs)",440,461,487,501,543,524,579,589
"01000","Alabama","23","  Gross output of nonprofit institutions",2780,2850,2927,3011,3080,3164,3269,3393
"01000","Alabama","24","  Less: Receipts from sales of goods and services by nonprofit institutions",2340,2389,2440,2510,2537,2640,2690,2804
"02000","Alaska","1","Per capita personal consumption expenditures",38992,40669,41719,42218,43867,45400,46299,48036
"02000","Alaska","2","  Goods",12189,12662,12840,12834,13124,12984,12831,13002
"02000","Alaska","3","    Durable goods",3771,3809,3954,4008,4082,4160,4136,4220
"02000","Alaska","4","      Motor vehicles and parts",1009,1012,1094,1116,1126,1163,1116,1108
"02000","Alaska","5","      Furnishings and durable household equipment",916,925,945,949,987,995,981,992
"02000","Alaska","6","      Recreational goods and vehicles",1340,1344,1379,1407,1422,1439,1468,1534
"02000","Alaska","7","      Other durable goods",506,527,536,536,547,563,571,586
"02000","Alaska","8","    Nondurable goods",8417,8853,8886,8825,9041,8823,8695,8782
"02000","Alaska","9","      Food and beverages purchased for off-premises consumption",3746,3870,3895,3895,3989,3987,3975,3986
"02000","Alaska","10","      Clothing and footwear",877,908,916,913,941,962,974,976
"02000","Alaska","11","      Gasoline and other energy goods",1189,1431,1458,1468,1441,1079,920,989
"02000","Alaska","12","      Other nondurable goods",2606,2645,2616,2550,2671,2795,2827,2832
"02000","Alaska","13","  Services",26804,28007,28879,29385,30744,32416,33468,35034
"02000","Alaska","14","    Household consumption expenditures (for services)",24837,25859,26588,27033,28394,30059,31024,32499
"02000","Alaska","15","    Housing and utilities",6542,6752,6900,6996,7382,7853,8120,8479
"02000","Alaska","16","    Health care",7495,7859,8235,8413,8928,9628,10077,10859
"02000","Alaska","17","    Transportation services",1026,1087,1094,1186,1228,1255,1275,1322
"02000","Alaska","18","    Recreation services",1366,1380,1448,1502,1609,1673,1660,1697
"02000","Alaska","19","    Food services and accommodations",2885,3048,3144,3203,3428,3633,3625,3572
"02000","Alaska","20","    Financial services and insurance",2188,2301,2304,2294,2311,2431,2491,2726
"02000","Alaska","21","    Other services",3335,3432,3462,3439,3508,3587,3776,3845
"02000","Alaska","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs)",1966,2148,2292,2351,2349,2357,2444,2535
"02000","Alaska","23","  Gross output of nonprofit institutions",4702,4962,5162,5289,5324,5481,5717,5966
"02000","Alaska","24","  Less: Receipts from sales of goods and services by nonprofit institutions",2736,2814,2871,2938,2975,3124,3273,3431
"04000","Arizona","1","Per capita personal consumption expenditures",29125,29988,30467,30910,31863,32594,33256,34548
"04000","Arizona","2","  Goods",10152,10657,10812,10889,11205,11127,11160,11574
"04000","Arizona","3","    Durable goods",3198,3358,3461,3558,3672,3794,3845,4002
"04000","Arizona","4","      Motor vehicles and parts",1021,1101,1214,1285,1344,1436,1450,1498
"04000","Arizona","5","      Furnishings and durable household equipment",733,775,770,769,801,816,852,900
"04000","Arizona","6","      Recreational goods and vehicles",858,872,867,892,909,926,920,950
"04000","Arizona","7","      Other durable goods",585,610,610,612,618,615,623,653
"04000","Arizona","8","    Nondurable goods",6955,7299,7351,7331,7534,7333,7315,7572
"04000","Arizona","9","      Food and beverages purchased for off-premises consumption",2547,2564,2573,2566,2673,2700,2737,2789
