SAEXP2 Per capita personal consumption expenditures (PCE) by state 1/,,,,,,,,
(Dollars) ,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,
State or DC,,,,,,,,
GeoFips,GeoName,LineCode,Description,1997,1998,1999,2000,2001
0,United States,1,Per capita personal consumption expenditures,20298,21295,22490,23953,24781
0,United States,2,  Goods,7349,7633,8184,8682,8850
0,United States,3,    Durable goods,2624,2825,3066,3234,3304
0,United States,4,      Motor vehicles and parts,1075,1161,1257,1287,1345
0,United States,5,      Furnishings and durable household equipment,589,629,685,738,754
0,United States,6,      Recreational goods and vehicles,641,694,756,818,824
0,United States,7,      Other durable goods,320,341,368,391,380
0,United States,8,    Nondurable goods,4725,4808,5118,5447,5546
0,United States,9,      Food and beverages purchased for off-premises consumption,1741,1767,1848,1916,1979
0,United States,10,      Clothing and footwear,908,935,972,995,975
0,United States,11,      Gasoline and other energy goods,542,480,525,654,625
0,United States,12,      Other nondurable goods,1534,1626,1774,1882,1967
0,United States,13,  Services,12948,13662,14306,15271,15932
0,United States,14,    Household consumption expenditures (for services),12561,13214,13811,14711,15303
0,United States,15,    Housing and utilities,3704,3862,4025,4248,4518
0,United States,16,    Health care,2901,3016,3095,3255,3497
0,United States,17,    Transportation services,777,816,865,926,912
0,United States,18,    Recreation services,764,798,853,902,920
0,United States,19,    Food services and accommodations,1260,1312,1363,1449,1473
0,United States,20,    Financial services and insurance,1500,1617,1743,1924,1845
0,United States,21,    Other services,1656,1792,1867,2008,2139
0,United States,22,  Final consumption expenditures of nonprofit institutions serving households (NPISHs),387,449,495,560,628
0,United States,23,  Gross output of nonprofit institutions,1843,1967,2065,2203,2374
0,United States,24,  Less: Receipts from sales of goods and services by nonprofit institutions,1456,1518,1570,1643,1745
1000,Alabama,1,Per capita personal consumption expenditures,17020,17696,18638,19559,20218
1000,Alabama,2,  Goods,6936,7110,7588,7893,8105
1000,Alabama,3,    Durable goods,2313,2454,2639,2692,2747
1000,Alabama,4,      Motor vehicles and parts,1120,1200,1304,1307,1354
1000,Alabama,5,      Furnishings and durable household equipment,509,530,560,582,582
1000,Alabama,6,      Recreational goods and vehicles,437,457,484,499,509
1000,Alabama,7,      Other durable goods,247,266,292,305,302
1000,Alabama,8,    Nondurable goods,4623,4656,4948,5200,5358
1000,Alabama,9,      Food and beverages purchased for off-premises consumption,1773,1784,1867,1870,1966
1000,Alabama,10,      Clothing and footwear,813,833,852,855,849
1000,Alabama,11,      Gasoline and other energy goods,558,482,529,685,638
1000,Alabama,12,      Other nondurable goods,1480,1557,1701,1790,1905
1000,Alabama,13,  Services,10084,10586,11051,11667,12113
1000,Alabama,14,    Household consumption expenditures (for services),9900,10356,10770,11357,11795
1000,Alabama,15,    Housing and utilities,2510,2651,2758,2925,3090
1000,Alabama,16,    Health care,2856,2927,2967,3091,3286
1000,Alabama,17,    Transportation services,480,502,523,541,533
1000,Alabama,18,    Recreation services,750,739,740,744,755
1000,Alabama,19,    Food services and accommodations,960,994,1049,1079,1099
1000,Alabama,20,    Financial services and insurance,1088,1243,1412,1595,1574
1000,Alabama,21,    Other services,1255,1301,1321,1381,1459
1000,Alabama,22,  Final consumption expenditures of nonprofit institutions serving households (NPISHs),183,230,281,309,318
1000,Alabama,23,  Gross output of nonprofit institutions,1447,1545,1660,1754,1832
1000,Alabama,24,  Less: Receipts from sales of goods and services by nonprofit institutions,1264,1314,1379,1444,1514
2000,Alaska,1,Per capita personal consumption expenditures,22512,23350,24671,26400,27812
2000,Alaska,2,  Goods,8354,8508,8993,9282,9515
2000,Alaska,3,    Durable goods,2749,2883,3051,3082,3222
2000,Alaska,4,      Motor vehicles and parts,936,1012,1136,1183,1252
2000,Alaska,5,      Furnishings and durable household equipment,590,607,626,637,676
2000,Alaska,6,      Recreational goods and vehicles,855,884,880,850,892
2000,Alaska,7,      Other durable goods,369,379,409,413,402
2000,Alaska,8,    Nondurable goods,5604,5625,5942,6199,6293
2000,Alaska,9,      Food and beverages purchased for off-premises consumption,2387,2461,2550,2589,2690
2000,Alaska,10,      Clothing and footwear,838,834,845,855,853
2000,Alaska,11,      Gasoline and other energy goods,761,651,715,900,809
2000,Alaska,12,      Other nondurable goods,1619,1678,1832,1855,1942
