SAINC30 Economic Profile,,,,,,,,,,,
(Millions of dollars) ,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,
State or DC,,,,,,,,,,,
GeoFips,GeoName,LineCode,Description,2003,2004,2005,2006,2007,2008,2009,2010
0,United States,,Place of residence profile,,,,,,,,
0,United States,10,Personal income (millions of dollars),9480901,10028781,10593946,11372589,12002204,12438527,12051307,12541995
0,United States,,Derivation of personal income,,,,,,,,
0,United States,45,Net earnings by place of residence,6468388,6849968,7170317,7601266,7909377,8029232,7728638,8044221
0,United States,50,Personal current transfer receipts,1347228,1421206,1516711,1613814,1728065,1955082,2146693,2325117
0,United States,60,  Income maintenance benefits 1/,137644,149094,165905,170430,180646,196000,230848,256034
0,United States,70,  Unemployment insurance compensation,53573,37084,32277,30899,33382,52014,131990,139715
0,United States,80,  Retirement and other,1156011,1235028,1318529,1412485,1514037,1707068,1783855,1929368
0,United States,90,"Dividends, interest, and rent",1665285,1757607,1906918,2157509,2364762,2454213,2175976,2172657
0,United States,91,  Personal dividend income,432138,561683,577756,722775,815239,804585,552965,543861
0,United States,92,  Personal interest income,1001674,947067,1097154,1232443,1365171,1392967,1295667,1234578
0,United States,93,    Imputed interest receipts 2/,643015,655400,686930,729041,776363,828284,836483,824325
0,United States,94,    Monetary interest receipts,358659,291667,410224,503402,588808,564683,459184,410253
0,United States,95,  Rental income of persons,231473,248857,232008,202291,184352,256661,327344,394218
0,United States,96,    Imputed rent,165400,180412,158589,125255,97636,145955,214976,265441
0,United States,97,    Monetary rent,66073,68445,73419,77036,86716,110706,112368,128777
0,United States,100,Population (persons) 3/,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309338421
0,United States,,Per capita incomes (dollars),,,,,,,,
0,United States,110,Per capita personal income 4/,32681,34251,35849,38114,39844,40904,39284,40545
0,United States,120,Per capita net earnings 4/,22296,23394,24264,25475,26257,26404,25193,26005
0,United States,130,Per capita personal current transfer receipts 4/,4644,4854,5132,5409,5737,6429,6998,7516
0,United States,140,  Per capita income maintenance benefits 4/,474,509,561,571,600,645,753,828
0,United States,150,  Per capita unemployment insurance compensation 4/,185,127,109,104,111,171,430,452
0,United States,160,  Per capita retirement and other 4/,3985,4218,4462,4734,5026,5614,5815,6237
0,United States,170,"Per capita dividends, interest, and rent 4/",5740,6003,6453,7231,7850,8071,7093,7024
