SAINC30 Economic Profile,,,,,,,,
(Millions of dollars) ,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,
State or DC,,,,,,,,
GeoFips,GeoName,LineCode,Description,1998,1999,2000,2001,2002
0,United States,,Place of residence profile,,,,,
0,United States,10,Personal income (millions of dollars),7601594,8001563,8650325,9001839,9155663
0,United States,,Derivation of personal income,,,,,
0,United States,45,Net earnings by place of residence,5084084,5440247,5896481,6135866,6253448
0,United States,50,Personal current transfer receipts,983878,1026144,1087280,1192565,1285190
0,United States,60,  Income maintenance benefits 1/,107098,109356,110582,113847,124986
0,United States,70,  Unemployment insurance compensation,19856,20747,20989,32148,53736
0,United States,80,  Retirement and other,856924,896041,955709,1046570,1106468
0,United States,90,"Dividends, interest, and rent",1533632,1535172,1666564,1673408,1617025
0,United States,91,  Personal dividend income,355436,346563,383501,369342,398800
0,United States,92,  Personal interest income,1012991,1010112,1099587,1101665,1007170
0,United States,93,    Imputed interest receipts 2/,580068,597435,633944,626212,628695
0,United States,94,    Monetary interest receipts,432923,412677,465643,475453,378475
0,United States,95,  Rental income of persons,165205,178497,183476,202401,211055
0,United States,96,    Imputed rent,101291,115188,120853,134779,146301
0,United States,97,    Monetary rent,63914,63309,62623,67622,64754
0,United States,100,Population (persons) 3/,275854104,279040168,282162411,284968955,287625193
0,United States,,Per capita incomes (dollars),,,,,
0,United States,110,Per capita personal income 4/,27557,28675,30657,31589,31832
0,United States,120,Per capita net earnings 4/,18430,19496,20897,21532,21742
0,United States,130,Per capita personal current transfer receipts 4/,3567,3677,3853,4185,4468
0,United States,140,  Per capita income maintenance benefits 4/,388,392,392,400,435
0,United States,150,  Per capita unemployment insurance compensation 4/,72,74,74,113,187
0,United States,160,  Per capita retirement and other 4/,3106,3211,3387,3673,3847
0,United States,170,"Per capita dividends, interest, and rent 4/",5560,5502,5906,5872,5622
0,United States,171,  Per capita dividends 4/,1288,1242,1359,1296,1387
0,United States,172,  Per capita interest 4/,3672,3620,3897,3866,3502
0,United States,173,  Per capita rent 4/,599,640,650,710,734
0,United States,,Place of work profile (millions of dollars),,,,,
0,United States,180,Earnings by place of work,5707014,6098042,6598743,6865291,7001130
0,United States,190,  Wages and salaries,4177471,4456769,4823765,4950126,4992622
0,United States,200,  Supplements to wages and salaries,887008,942209,1019616,1081914,1136091
0,United States,201,    Employer contributions for employee pension and insurance funds 5/,580252,619356,674890,724466,770625
0,United States,202,    Employer contributions for government social insurance,306756,322853,344726,357448,365466
0,United States,210,  Proprietors' income,642535,699064,755362,833251,872417
0,United States,220,    Farm proprietors' income,30834,30755,32996,34334,22590
0,United States,230,    Nonfarm proprietors' income,611701,668309,722366,798917,849827
0,United States,240,Total employment (number of jobs),158481200,161531300,165370800,165522200,165095100
0,United States,250,  Wage and salary employment,131920000,134766000,137610000,137334000,136301000
0,United States,260,  Proprietors employment,26561200,26765300,27760800,28188200,28794100
0,United States,270,    Farm proprietors employment 6/,2249000,2237000,2224000,2190000,2032000
0,United States,280,    Nonfarm proprietors employment,24312200,24528300,25536800,25998200,26762100
0,United States,290,Average earnings per job (dollars),36011,37751,39903,41477,42407
0,United States,300,  Average wages and salaries,31667,33070,35054,36044,36629
0,United States,310,  Average nonfarm proprietors' income,25160,27246,28287,30730,31755
1000,Alabama,,Place of residence profile,,,,,
1000,Alabama,10,Personal income (millions of dollars),100081,103536,108506.2,112312.1,115166.1
1000,Alabama,,Derivation of personal income,,,,,
1000,Alabama,45,Net earnings by place of residence,65001.3,67967.5,70349.1,72434.9,74535.8
1000,Alabama,50,Personal current transfer receipts,15987.1,16653,17749.7,19206.8,20554.1
1000,Alabama,60,  Income maintenance benefits 1/,1911.8,1913.4,1919.8,2014.6,2255.9
1000,Alabama,70,  Unemployment insurance compensation,226.3,225.1,238.1,326.6,419
1000,Alabama,80,  Retirement and other,13849,14514.5,15591.8,16865.6,17879.1
1000,Alabama,90,"Dividends, interest, and rent",19092.6,18915.6,20407.5,20670.4,20076.2
1000,Alabama,91,  Personal dividend income,4137.5,3950.5,4271,4032.4,4546
1000,Alabama,92,  Personal interest income,13134.3,12966.9,14030.9,14165.4,12883.2
1000,Alabama,93,    Imputed interest receipts 2/,8148.6,8289.9,8665.4,8685.8,8610.6
1000,Alabama,94,    Monetary interest receipts,4985.7,4677,5365.5,5479.6,4272.5
1000,Alabama,95,  Rental income of persons,1820.8,1998.1,2105.6,2472.7,2647.1
1000,Alabama,96,    Imputed rent,1250.4,1419,1540.3,1880.8,2041.1
1000,Alabama,97,    Monetary rent,570.4,579.1,565.3,591.8,606
1000,Alabama,100,Population (persons) 3/,4404701,4430141,4452173,4467634,4480089
1000,Alabama,,Per capita incomes (dollars),,,,,
1000,Alabama,110,Per capita personal income 4/,22721,23371,24372,25139,25706
1000,Alabama,120,Per capita net earnings 4/,14757,15342,15801,16213,16637
1000,Alabama,130,Per capita personal current transfer receipts 4/,3630,3759,3987,4299,4588
1000,Alabama,140,  Per capita income maintenance benefits 4/,434,432,431,451,504
1000,Alabama,150,  Per capita unemployment insurance compensation 4/,51,51,53,73,94
1000,Alabama,160,  Per capita retirement and other 4/,3144,3276,3502,3775,3991
1000,Alabama,170,"Per capita dividends, interest, and rent 4/",4335,4270,4584,4627,4481
1000,Alabama,171,  Per capita dividends 4/,939,892,959,903,1015
1000,Alabama,172,  Per capita interest 4/,2982,2927,3151,3171,2876
1000,Alabama,173,  Per capita rent 4/,413,451,473,553,591
1000,Alabama,,Place of work profile (millions of dollars),,,,,
1000,Alabama,180,Earnings by place of work,72164.9,75429.1,77978.5,80308.9,82646
1000,Alabama,190,  Wages and salaries,52742.6,55189.9,57239.3,58650.3,60175.1
1000,Alabama,200,  Supplements to wages and salaries,11572.6,12108.4,12689.4,13414,14006.7
1000,Alabama,201,    Employer contributions for employee pension and insurance funds 5/,7595.6,7981.7,8415.8,9031.5,9514
1000,Alabama,202,    Employer contributions for government social insurance,3977,4126.7,4273.6,4382.5,4492.7
1000,Alabama,210,  Proprietors' income,7849.7,8130.8,8049.9,8244.6,8464.2
1000,Alabama,220,    Farm proprietors' income,928.3,1108.2,811.8,1196.1,798.9
1000,Alabama,230,    Nonfarm proprietors' income,6921.5,7022.5,7238.1,7048.5,7665.3
1000,Alabama,240,Total employment (number of jobs),2361892,2378217,2392225,2376053,2364828
1000,Alabama,250,  Wage and salary employment,1994381,2007120,2008801,1988175,1971265
1000,Alabama,260,  Proprietors employment,367511,371097,383424,387878,393563
1000,Alabama,270,    Farm proprietors employment 6/,51389,50130,48927,47687,41915
