SAINC7N Wages and Salaries by NAICS Industry 1/,,,,,,,
(Thousands of dollars) ,,,,,,,
Bureau of Economic Analysis ,,,,,,,
State or DC,,,,,,,
GeoFips,GeoName,LineCode,Description,2010,2011,2012,2013
1000,Alabama,50,Wages and salaries by place of work (thousands of dollars),77298137,78941778,81166884,82339334
1000,Alabama,81,  Farm wages and salaries,174999,149727,201107,146828
1000,Alabama,82,  Nonfarm wages and salaries,77123138,78792051,80965777,82192506
1000,Alabama,90,    Private nonfarm wages and salaries,59399150,60891564,63247323,64514133
1000,Alabama,100,"      Forestry, fishing, and related activities",279192,274907,286110,297763
1000,Alabama,101,        Forestry and logging,164570,162088,163358,169543
1000,Alabama,102,"        Fishing, hunting and trapping",2408,1991,1887,1988
1000,Alabama,103,        Support activities for agriculture and forestry,112214,110828,120865,126232
1000,Alabama,200,"      Mining, quarrying, and oil and gas extraction",578001,643269,656052,623383
1000,Alabama,201,        Oil and gas extraction,74037,76155,76053,74236
1000,Alabama,202,        Mining (except oil and gas),457763,517995,522305,488138
1000,Alabama,203,        Support activities for mining,46201,49119,57694,61009
1000,Alabama,300,      Utilities,1109785,1223951,1256387,1270850
1000,Alabama,400,      Construction,3900966,3610872,3705098,3718367
1000,Alabama,401,        Construction of buildings,992331,914325,967818,984719
1000,Alabama,402,        Heavy and civil engineering construction,815323,795173,832335,796008
1000,Alabama,403,        Specialty trade contractors,2093312,1901374,1904945,1937640
1000,Alabama,500,      Manufacturing,11436391,11674549,12279900,12696705
1000,Alabama,510,        Durable goods manufacturing,7481641,7655261,8170419,8502935
1000,Alabama,511,          Wood product manufacturing,446563,460114,482702,532904
1000,Alabama,512,          Nonmetallic mineral product manufacturing,317750,309184,305137,319404
1000,Alabama,513,          Primary metal manufacturing,1018600,1136056,1244890,1227427
1000,Alabama,514,          Fabricated metal product manufacturing,1074442,1052260,1160678,1158401
1000,Alabama,515,          Machinery manufacturing,483505,525054,529680,532170
1000,Alabama,516,          Computer and electronic product manufacturing,598949,571826,528631,526130
1000,Alabama,517,"          Electrical equipment, appliance, and component manufacturing",225283,232080,253001,269427
1000,Alabama,518,"          Motor vehicles, bodies and trailers, and parts manufacturing",1578733,1604810,1820582,2011522
1000,Alabama,519,          Other transportation equipment manufacturing,1223139,1258315,1306236,1371312
1000,Alabama,521,          Furniture and related product manufacturing,289342,282310,288621,294322
1000,Alabama,522,          Miscellaneous manufacturing,225335,223252,250261,259916
1000,Alabama,530,        Nondurable goods manufacturing,3954750,4019288,4109481,4193770
1000,Alabama,531,          Food manufacturing,982216,951963,953765,982452
1000,Alabama,532,          Beverage and tobacco product manufacturing,104717,108035,109711,106452
1000,Alabama,533,          Textile mills,186577,225322,234228,239698
1000,Alabama,534,          Textile product mills,136690,135010,119769,126450
1000,Alabama,535,          Apparel manufacturing,154492,116590,111607,98471
1000,Alabama,536,          Leather and allied product manufacturing,1212,1126,1377,1225
1000,Alabama,537,          Paper manufacturing,912902,914230,917728,931948
1000,Alabama,538,          Printing and related support activities,136695,126162,125333,130811
1000,Alabama,539,          Petroleum and coal products manufacturing,105164,127954,133543,134517
1000,Alabama,541,          Chemical manufacturing,648862,695171,748573,772976
1000,Alabama,542,          Plastics and rubber products manufacturing,585223,617725,653847,668770
1000,Alabama,600,      Wholesale trade,3957136,4055913,4150258,4245932
1000,Alabama,700,      Retail trade,5514612,5600757,5713441,5790539
1000,Alabama,701,        Motor vehicle and parts dealers,1033519,1110335,1173784,1217254
1000,Alabama,702,        Furniture and home furnishings stores,167262,167088,167974,167683
1000,Alabama,703,        Electronics and appliance stores,235997,246177,243493,239267
1000,Alabama,704,        Building material and garden equipment and supplies dealers,544674,555678,562916,566646
1000,Alabama,705,        Food and beverage stores,622807,622431,630312,625865
1000,Alabama,706,        Health and personal care stores,566265,567773,598497,627357
1000,Alabama,707,        Gasoline stations,299136,297687,303444,312669
1000,Alabama,708,        Clothing and clothing accessories stores,272962,271908,275069,278994
1000,Alabama,709,"        Sporting goods, hobby, musical instrument, and book stores",163059,168666,170745,179609
1000,Alabama,711,        General merchandise stores,1242457,1248204,1237378,1229659
1000,Alabama,712,        Miscellaneous store retailers,232192,223335,231467,234460
1000,Alabama,713,        Nonstore retailers,134282,121475,118362,111076
1000,Alabama,800,      Transportation and warehousing,2205023,2317249,2459733,2535519
1000,Alabama,801,        Air transportation,32687,38347,41322,43753
1000,Alabama,802,        Rail transportation,239231,268987,290292,275762
1000,Alabama,803,        Water transportation,91272,92330,89708,83357
1000,Alabama,804,        Truck transportation,978982,998130,1037976,1072740
1000,Alabama,805,        Transit and ground passenger transportation,52614,52530,52338,56064
1000,Alabama,806,        Pipeline transportation,46282,47544,62103,48660
1000,Alabama,807,        Scenic and sightseeing transportation,2195,1906,1989,2172
1000,Alabama,808,        Support activities for transportation,272829,292788,293370,318200
1000,Alabama,809,        Couriers and messengers,203932,204469,208603,214640
1000,Alabama,811,        Warehousing and storage,284999,320218,382032,420171
1000,Alabama,900,      Information,1158997,1176528,1163763,1165749
1000,Alabama,901,        Publishing industries (except Internet),268817,260513,266737,256132
1000,Alabama,902,        Motion picture and sound recording industries,29739,30004,29493,27472
1000,Alabama,903,        Broadcasting (except Internet),145445,155228,154196,164118
1000,Alabama,904,        Internet publishing and broadcasting 2/,(NA),(NA),(NA),(NA)
1000,Alabama,905,        Telecommunications,617328,633951,610409,621212
1000,Alabama,906,"        Data processing, hosting, and related services",75895,70069,77584,73012
1000,Alabama,907,        Other information services 2/,21773,26763,25344,23803
1000,Alabama,1000,      Finance and insurance,4080663,4453583,4639558,4760522
1000,Alabama,1001,        Monetary Authorities-central bank,(D),(D),(D),(D)
1000,Alabama,1002,        Credit intermediation and related activities,1931576,1968406,2141703,2218885
1000,Alabama,1003,"        Securities, commodity contracts, and other financial investments and related activities",458350,494294,519461,570058
1000,Alabama,1004,        Insurance carriers and related activities,1685537,1985742,1973261,1966071
1000,Alabama,1005,"        Funds, trusts, and other financial vehicles",(D),(D),(D),(D)
1000,Alabama,1100,      Real estate and rental and leasing,784746,789281,842309,855531
1000,Alabama,1101,        Real estate,509630,513230,560467,570627
1000,Alabama,1102,        Rental and leasing services,268380,268878,273611,275075
1000,Alabama,1103,        Lessors of nonfinancial intangible assets (except copyrighted works),6736,7173,8231,9829
