SAINC7N Wages and Salaries by NAICS Industry 1/,,,,,,,
(Thousands of dollars) ,,,,,,,
Bureau of Economic Analysis ,,,,,,,
State or DC,,,,,,,
GeoFips,GeoName,LineCode,Description,2014,2015,2016,2017
1000,Alabama,50,Wages and salaries by place of work (thousands of dollars),85142662,88342840,90513750,93889312
1000,Alabama,81,  Farm wages and salaries,124584,171207,140357,136742
1000,Alabama,82,  Nonfarm wages and salaries,85018078,88171633,90373393,93752570
1000,Alabama,90,    Private nonfarm wages and salaries,66925234,69825852,71646182,74470955
1000,Alabama,100,"      Forestry, fishing, and related activities",313606,327598,341244,342235
1000,Alabama,101,        Forestry and logging,178511,185892,190553,185177
1000,Alabama,102,"        Fishing, hunting and trapping",1768,1555,1554,1489
1000,Alabama,103,        Support activities for agriculture and forestry,133327,140151,149137,155569
1000,Alabama,200,"      Mining, quarrying, and oil and gas extraction",609825,549310,377314,464324
1000,Alabama,201,        Oil and gas extraction,75715,48649,46912,49503
1000,Alabama,202,        Mining (except oil and gas),469247,442966,285232,360305
1000,Alabama,203,        Support activities for mining,64863,57695,45170,54516
1000,Alabama,300,      Utilities,1263887,1379046,1426303,1434241
1000,Alabama,400,      Construction,3913636,4083466,4357561,4556800
1000,Alabama,401,        Construction of buildings,977320,1041264,1101992,1143168
1000,Alabama,402,        Heavy and civil engineering construction,887588,910364,972539,1082798
1000,Alabama,403,        Specialty trade contractors,2048728,2131838,2283030,2330834
1000,Alabama,500,      Manufacturing,13383810,13812380,14133915,14554637
1000,Alabama,510,        Durable goods manufacturing,9091792,9431375,9626546,9875875
1000,Alabama,511,          Wood product manufacturing,580966,626808,679052,719998
1000,Alabama,512,          Nonmetallic mineral product manufacturing,334574,360687,378528,399193
1000,Alabama,513,          Primary metal manufacturing,1329758,1286871,1242926,1261505
1000,Alabama,514,          Fabricated metal product manufacturing,1222206,1267569,1267878,1308621
1000,Alabama,515,          Machinery manufacturing,551278,575940,560151,577960
1000,Alabama,516,          Computer and electronic product manufacturing,541004,548142,555992,575002
1000,Alabama,517,"          Electrical equipment, appliance, and component manufacturing",281357,283463,287708,282895
1000,Alabama,518,"          Motor vehicles, bodies and trailers, and parts manufacturing",2248162,2355657,2433292,2447125
1000,Alabama,519,          Other transportation equipment manufacturing,1418066,1515374,1567515,1615689
1000,Alabama,521,          Furniture and related product manufacturing,306130,325383,354810,375974
