"","StateFull","Year","Description","Value"
"1","United States","1998","Place of residence profile",NA
"2","United States","1998","Personal income (millions of dollars)",7601594
"3","United States","1998","Derivation of personal income",NA
"4","United States","1998","Net earnings by place of residence",5084084
"5","United States","1998","Personal current transfer receipts",983878
"6","United States","1998","Income maintenance benefits 1/",107098
"7","United States","1998","Unemployment insurance compensation",19856
"8","United States","1998","Retirement and other",856924
"9","United States","1998","Dividends, interest, and rent",1533632
"10","United States","1998","Personal dividend income",355436
"11","United States","1998","Personal interest income",1012991
"12","United States","1998","Imputed interest receipts 2/",580068
"13","United States","1998","Monetary interest receipts",432923
"14","United States","1998","Rental income of persons",165205
"15","United States","1998","Imputed rent",101291
"16","United States","1998","Monetary rent",63914
"17","United States","1998","Population (persons) 3/",275854104
"18","United States","1998","Per capita incomes (dollars)",NA
"19","United States","1998","Per capita personal income 4/",27557
"20","United States","1998","Per capita net earnings 4/",18430
"21","United States","1998","Per capita personal current transfer receipts 4/",3567
"22","United States","1998","Per capita income maintenance benefits 4/",388
"23","United States","1998","Per capita unemployment insurance compensation 4/",72
"24","United States","1998","Per capita retirement and other 4/",3106
"25","United States","1998","Per capita dividends, interest, and rent 4/",5560
"26","United States","1998","Per capita dividends 4/",1288
"27","United States","1998","Per capita interest 4/",3672
"28","United States","1998","Per capita rent 4/",599
"29","United States","1998","Place of work profile (millions of dollars)",NA
"30","United States","1998","Earnings by place of work",5707014
"31","United States","1998","Wages and salaries",4177471
"32","United States","1998","Supplements to wages and salaries",887008
"33","United States","1998","Employer contributions for employee pension and insurance funds 5/",580252
"34","United States","1998","Employer contributions for government social insurance",306756
"35","United States","1998","Proprietors' income",642535
"36","United States","1998","Farm proprietors' income",30834
"37","United States","1998","Nonfarm proprietors' income",611701
"38","United States","1998","Total employment (number of jobs)",158481200
"39","United States","1998","Wage and salary employment",131920000
"40","United States","1998","Proprietors employment",26561200
"41","United States","1998","Farm proprietors employment 6/",2249000
"42","United States","1998","Nonfarm proprietors employment",24312200
"43","United States","1998","Average earnings per job (dollars)",36011
"44","United States","1998","Average wages and salaries",31667
"45","United States","1998","Average nonfarm proprietors' income",25160
"46","Alabama","1998","Place of residence profile",NA
"47","Alabama","1998","Personal income (millions of dollars)",100081
"48","Alabama","1998","Derivation of personal income",NA
"49","Alabama","1998","Net earnings by place of residence",65001.3
"50","Alabama","1998","Personal current transfer receipts",15987.1
"51","Alabama","1998","Income maintenance benefits 1/",1911.8
"52","Alabama","1998","Unemployment insurance compensation",226.3
"53","Alabama","1998","Retirement and other",13849
"54","Alabama","1998","Dividends, interest, and rent",19092.6
"55","Alabama","1998","Personal dividend income",4137.5
"56","Alabama","1998","Personal interest income",13134.3
"57","Alabama","1998","Imputed interest receipts 2/",8148.6
"58","Alabama","1998","Monetary interest receipts",4985.7
"59","Alabama","1998","Rental income of persons",1820.8
"60","Alabama","1998","Imputed rent",1250.4
"61","Alabama","1998","Monetary rent",570.4
"62","Alabama","1998","Population (persons) 3/",4404701
"63","Alabama","1998","Per capita incomes (dollars)",NA
"64","Alabama","1998","Per capita personal income 4/",22721
"65","Alabama","1998","Per capita net earnings 4/",14757
"66","Alabama","1998","Per capita personal current transfer receipts 4/",3630
"67","Alabama","1998","Per capita income maintenance benefits 4/",434
"68","Alabama","1998","Per capita unemployment insurance compensation 4/",51
"69","Alabama","1998","Per capita retirement and other 4/",3144
"70","Alabama","1998","Per capita dividends, interest, and rent 4/",4335
"71","Alabama","1998","Per capita dividends 4/",939
"72","Alabama","1998","Per capita interest 4/",2982
"73","Alabama","1998","Per capita rent 4/",413
"74","Alabama","1998","Place of work profile (millions of dollars)",NA
"75","Alabama","1998","Earnings by place of work",72164.9
"76","Alabama","1998","Wages and salaries",52742.6
"77","Alabama","1998","Supplements to wages and salaries",11572.6
"78","Alabama","1998","Employer contributions for employee pension and insurance funds 5/",7595.6
"79","Alabama","1998","Employer contributions for government social insurance",3977
"80","Alabama","1998","Proprietors' income",7849.7
"81","Alabama","1998","Farm proprietors' income",928.3
"82","Alabama","1998","Nonfarm proprietors' income",6921.5
"83","Alabama","1998","Total employment (number of jobs)",2361892
"84","Alabama","1998","Wage and salary employment",1994381
"85","Alabama","1998","Proprietors employment",367511
"86","Alabama","1998","Farm proprietors employment 6/",51389
"87","Alabama","1998","Nonfarm proprietors employment",316122
"88","Alabama","1998","Average earnings per job (dollars)",30554
"89","Alabama","1998","Average wages and salaries",26446
"90","Alabama","1998","Average nonfarm proprietors' income",21895
"91","Alaska","1998","Place of residence profile",NA
"92","Alaska","1998","Personal income (millions of dollars)",18046
"93","Alaska","1998","Derivation of personal income",NA
"94","Alaska","1998","Net earnings by place of residence",12156.8
"95","Alaska","1998","Personal current transfer receipts",2470.7
"96","Alaska","1998","Income maintenance benefits 1/",259.6
"97","Alaska","1998","Unemployment insurance compensation",109.2
"98","Alaska","1998","Retirement and other",2101.9
"99","Alaska","1998","Dividends, interest, and rent",3418.5
"100","Alaska","1998","Personal dividend income",684
"101","Alaska","1998","Personal interest income",2375.7
"102","Alaska","1998","Imputed interest receipts 2/",1689.2
"103","Alaska","1998","Monetary interest receipts",686.5
"104","Alaska","1998","Rental income of persons",358.8
"105","Alaska","1998","Imputed rent",184.5
"106","Alaska","1998","Monetary rent",174.4
"107","Alaska","1998","Population (persons) 3/",619932
"108","Alaska","1998","Per capita incomes (dollars)",NA
"109","Alaska","1998","Per capita personal income 4/",29110
