StateFull,Year,Place of residence profile,Personal income (millions of dollars),Derivation of personal income,Net earnings by place of residence,Personal current transfer receipts,Income maintenance benefits 1/,Unemployment insurance compensation,Retirement and other,"Dividends, interest, and rent",Personal dividend income,Personal interest income,Imputed interest receipts 2/,Monetary interest receipts,Rental income of persons,Imputed rent,Monetary rent,Population (persons) 3/,Per capita incomes (dollars),Per capita personal income 4/,Per capita net earnings 4/,Per capita personal current transfer receipts 4/,Per capita income maintenance benefits 4/,Per capita unemployment insurance compensation 4/,Per capita retirement and other 4/,"Per capita dividends, interest, and rent 4/",Per capita dividends 4/,Per capita interest 4/,Per capita rent 4/,Place of work profile (millions of dollars),Earnings by place of work,Wages and salaries,Supplements to wages and salaries,Employer contributions for employee pension and insurance funds 5/,Employer contributions for government social insurance,Proprietors' income,Farm proprietors' income,Nonfarm proprietors' income,Total employment (number of jobs),Wage and salary employment,Proprietors employment,Farm proprietors employment 6/,Nonfarm proprietors employment,Average earnings per job (dollars),Average wages and salaries,Average nonfarm proprietors' income,Column1
Alabama,1998,NA,100081,NA,65001.3,15987.1,1911.8,226.3,13849,19092.6,4137.5,13134.3,8148.6,4985.7,1820.8,1250.4,570.4,4404701,NA,22721,14757,3630,434,51,3144,4335,939,2982,413,NA,72164.9,52742.6,11572.6,7595.6,3977,7849.7,928.3,6921.5,2361892,1994381,367511,51389,316122,30554,26446,21895,
Alabama,1999,NA,103536,NA,67967.5,16653,1913.4,225.1,14514.5,18915.6,3950.5,12966.9,8289.9,4677,1998.1,1419,579.1,4430141,NA,23371,15342,3759,432,51,3276,4270,892,2927,451,NA,75429.1,55189.9,12108.4,7981.7,4126.7,8130.8,1108.2,7022.5,2378217,2007120,371097,50130,320967,31717,27497,21879,
Alabama,2000,NA,108506.2,NA,70349.1,17749.7,1919.8,238.1,15591.8,20407.5,4271,14030.9,8665.4,5365.5,2105.6,1540.3,565.3,4452173,NA,24372,15801,3987,431,53,3502,4584,959,3151,473,NA,77978.5,57239.3,12689.4,8415.8,4273.6,8049.9,811.8,7238.1,2392225,2008801,383424,48927,334497,32597,28494,21639,
Alabama,2001,NA,112312.1,NA,72434.9,19206.8,2014.6,326.6,16865.6,20670.4,4032.4,14165.4,8685.8,5479.6,2472.7,1880.8,591.8,4467634,NA,25139,16213,4299,451,73,3775,4627,903,3171,553,NA,80308.9,58650.3,13414,9031.5,4382.5,8244.6,1196.1,7048.5,2376053,1988175,387878,47687,340191,33799,29500,20719,
Alabama,2002,NA,115166.1,NA,74535.8,20554.1,2255.9,419,17879.1,20076.2,4546,12883.2,8610.6,4272.5,2647.1,2041.1,606,4480089,NA,25706,16637,4588,504,94,3991,4481,1015,2876,591,NA,82646,60175.1,14006.7,9514,4492.7,8464.2,798.9,7665.3,2364828,1971265,393563,41915,351648,34948,30526,21798,
Alabama,2003,NA,120209.9,NA,77532.8,21812.3,2460.6,411.2,18940.5,20864.8,5187.8,12931.4,8914.2,4017.2,2745.6,2113.3,632.2,4503491,NA,26693,17216,4843,546,91,4206,4633,1152,2871,610,NA,85908.5,62193.4,14925.8,10256.3,4669.5,8789.3,1151.5,7637.7,2371430,1965711,405719,40802,364917,36226,31639,20930,
Alabama,2004,NA,128669.9,NA,82722.7,23106.9,2650.9,283.6,20172.4,22840.3,7534.1,12358.7,9120.9,3237.8,2947.6,2350.9,596.6,4530729,NA,28399,18258,5100,585,63,4452,5041,1663,2728,651,NA,91565.7,65590.7,16034.4,11160.9,4873.5,9940.6,1598.2,8342.4,2425649,2000342,425307,39137,386170,37749,32790,21603,
Alabama,2005,NA,136215.3,NA,87393.3,24851.2,2859.8,245.3,21746.1,23970.9,7460.3,14033.7,9549.8,4483.9,2476.9,1847.3,629.6,4569805,NA,29808,19124,5438,626,54,4759,5245,1633,3071,542,NA,96828,69328.2,17068.7,11915.5,5153.2,10431.2,1496.6,8934.5,2486833,2036267,450566,38955,411611,38936,34047,21706,
Alabama,2006,NA,144914.3,NA,92166.1,26763.9,2874.8,233.1,23655.9,25984.3,8767.9,15090,9961.2,5128.8,2126.5,1474.3,652.1,4628981,NA,31306,19911,5782,621,50,5110,5613,1894,3260,459,NA,102222.5,73732.1,17414.6,12057.5,5357.1,11075.8,820.1,10255.7,2545556,2073063,472493,37981,434512,40157,35567,23603,
Alabama,2007,NA,152210.6,NA,95066.1,28811.5,3274.2,252.6,25284.7,28333.1,9888.9,16604.2,10616.8,5987.4,1840,1119.2,720.8,4672840,NA,32573,20344,6166,701,54,5411,6063,2116,3553,394,NA,105563.7,77269,18017.2,12433.5,5583.8,10277.5,607,9670.5,2604078,2095767,508311,43127,465184,40538,36869,20789,
