"tmt1","tmt2","var","mean1","mean2","pop.sd","std.eff.sz","p","ks","ks.pval","stop.method"
"1","2","saemhi_pt",49266.405,49137.699,8741.76,0.015,0.482,0.039,1,"unw"
"1","2","saepovrtall_pt",13.114,13.125,3.297,0.003,0.869,0.034,1,"unw"
"1","2","annualsubsfullstate",-1343265.512,-1589863.432,1686102.225,0.146,0,0.159,1,"unw"
"1","2","annualpercofullstate",30934.198,30814.082,6870.254,0.017,0.396,0.025,1,"unw"
"1","2","unemploymentinsurancecompens",1409.324,1740.192,2144.023,0.154,0,0.122,1,"unw"
"1","2","retirementandother",37424.771,46195.552,39534.973,0.222,0,0.147,1,"unw"
"1","2","personaldividendincome",16402.528,19228.471,18305.68,0.154,0,0.142,1,"unw"
"1","2","monetaryrent",2985.763,3497.169,4883.19,0.105,0,0.145,1,"unw"
"1","2","populationpersons3",7482948.076,9258514.711,7099753.784,0.25,0,0.172,1,"unw"
"1","2","percapitapersonalincome4",38557.147,38371.218,9106.614,0.02,0.32,0.032,1,"unw"
"1","2","percapitaunemploymentinsuran",181.972,185.678,145.741,0.025,0.222,0.033,1,"unw"
"1","2","proprietorsemployment",865286.294,1064448.044,877914.988,0.227,0,0.166,1,"unw"
"1","2","farmproprietorsemployment6",39038.191,50407.884,40654.338,0.28,0,0.112,1,"unw"
"1","2","averagewagesandsalaries",42932.278,42861.247,9655.776,0.007,0.723,0.048,1,"unw"
"1","2","averagenonfarmproprietorsinc",29418.908,29669.337,10553.945,0.024,0.246,0.08,1,"unw"
"1","3","saemhi_pt",49266.405,47148.49,8741.76,0.242,0,0.098,1,"unw"
"1","3","saepovrtall_pt",13.114,13.511,3.297,0.12,0,0.087,1,"unw"
"1","3","annualsubsfullstate",-1343265.512,-1437812.622,1686102.225,0.056,0.004,0.117,1,"unw"
"1","3","annualpercofullstate",30934.198,30068.763,6870.254,0.126,0,0.075,1,"unw"
"1","3","unemploymentinsurancecompens",1409.324,1530.817,2144.023,0.057,0.003,0.092,1,"unw"
"1","3","retirementandother",37424.771,43448.332,39534.973,0.152,0,0.139,1,"unw"
"1","3","personaldividendincome",16402.528,17124.304,18305.68,0.039,0.05,0.093,1,"unw"
"1","3","monetaryrent",2985.763,2734.036,4883.19,0.052,0.01,0.081,1,"unw"
"1","3","populationpersons3",7482948.076,8445034.782,7099753.784,0.136,0,0.142,1,"unw"
"1","3","percapitapersonalincome4",38557.147,37428.112,9106.614,0.124,0,0.055,1,"unw"
"1","3","percapitaunemploymentinsuran",181.972,175.795,145.741,0.042,0.037,0.03,1,"unw"
"1","3","proprietorsemployment",865286.294,936508.857,877914.988,0.081,0,0.12,1,"unw"
"1","3","farmproprietorsemployment6",39038.191,50985.556,40654.338,0.294,0,0.178,1,"unw"
"1","3","averagewagesandsalaries",42932.278,41723.46,9655.776,0.125,0,0.063,1,"unw"
"1","3","averagenonfarmproprietorsinc",29418.908,29936.289,10553.945,0.049,0.023,0.057,1,"unw"
"1","4","saemhi_pt",49266.405,47018.486,8741.76,0.257,0,0.122,1,"unw"
"1","4","saepovrtall_pt",13.114,13.806,3.297,0.21,0,0.109,1,"unw"
"1","4","annualsubsfullstate",-1343265.512,-1385910.249,1686102.225,0.025,0.209,0.067,1,"unw"
"1","4","annualpercofullstate",30934.198,30114.879,6870.254,0.119,0,0.084,1,"unw"
"1","4","unemploymentinsurancecompens",1409.324,1477.024,2144.023,0.032,0.117,0.058,1,"unw"
"1","4","retirementandother",37424.771,41670.594,39534.973,0.107,0,0.121,1,"unw"
"1","4","personaldividendincome",16402.528,16043.236,18305.68,0.02,0.334,0.041,1,"unw"
"1","4","monetaryrent",2985.763,2694.733,4883.19,0.06,0.004,0.064,1,"unw"
"1","4","populationpersons3",7482948.076,7752350.502,7099753.784,0.038,0.054,0.087,1,"unw"
"1","4","percapitapersonalincome4",38557.147,37234.319,9106.614,0.145,0,0.067,1,"unw"
"1","4","percapitaunemploymentinsuran",181.972,177.226,145.741,0.033,0.108,0.025,1,"unw"
"1","4","proprietorsemployment",865286.294,871111.822,877914.988,0.007,0.737,0.05,1,"unw"
"1","4","farmproprietorsemployment6",39038.191,50141.507,40654.338,0.273,0,0.192,1,"unw"
"1","4","averagewagesandsalaries",42932.278,41359.267,9655.776,0.163,0,0.092,1,"unw"
"1","4","averagenonfarmproprietorsinc",29418.908,28502.503,10553.945,0.087,0,0.045,1,"unw"
"2","3","saemhi_pt",49137.699,47148.49,8741.76,0.228,0,0.118,1,"unw"
"2","3","saepovrtall_pt",13.125,13.511,3.297,0.117,0,0.065,1,"unw"
"2","3","annualsubsfullstate",-1589863.432,-1437812.622,1686102.225,0.09,0,0.075,1,"unw"
"2","3","annualpercofullstate",30814.082,30068.763,6870.254,0.108,0,0.06,1,"unw"
"2","3","unemploymentinsurancecompens",1740.192,1530.817,2144.023,0.098,0,0.063,1,"unw"
"2","3","retirementandother",46195.552,43448.332,39534.973,0.069,0.001,0.035,1,"unw"
"2","3","personaldividendincome",19228.471,17124.304,18305.68,0.115,0,0.069,1,"unw"
"2","3","monetaryrent",3497.169,2734.036,4883.19,0.156,0,0.108,1,"unw"
